Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
101 Capital Region,1999-11-01,9.93,101
103 New South Wales - Central West,1999-11-01,7.94,103
104 Coffs Harbour - Grafton,1999-11-01,6.93,104
105 Far West and Orana,1999-11-01,6.19,105
106 Hunter Valley exc Newcastle,1999-11-01,8.39,106
107 Illawarra,1999-11-01,6.84,107
108 Mid North Coast,1999-11-01,8.26,108
109 Murray,1999-11-01,8.80,109
110 New England and North West,1999-11-01,6.17,110
111 Newcastle and Lake Macquarie,1999-11-01,8.23,111
112 Richmond - Tweed,1999-11-01,7.82,112
113 Riverina,1999-11-01,5.60,113
114 Southern Highlands and Shoalhaven,1999-11-01,5.98,114
206 Melbourne - Inner,1999-11-01,8.00,206
207 Melbourne - Inner East,1999-11-01,8.55,207
208 Melbourne - Inner South,1999-11-01,8.04,208
209 Melbourne - North East,1999-11-01,7.99,209
210 Melbourne - North West,1999-11-01,7.36,210
211 Melbourne - Outer East,1999-11-01,8.90,211
212 Melbourne - South East,1999-11-01,7.03,212
213 Melbourne - West,1999-11-01,6.57,213
214 Mornington Peninsula,1999-11-01,6.66,214
201 Ballarat,1999-11-01,7.72,201
202 Bendigo,1999-11-01,8.24,202
203 Geelong,1999-11-01,11.14,203
204 Hume,1999-11-01,8.90,204
205 Latrobe - Gippsland,1999-11-01,7.75,205
215 Victoria - North West,1999-11-01,8.40,215
216 Shepparton,1999-11-01,6.29,216
217 Warrnambool and South West,1999-11-01,6.97,217
301 Brisbane - East,1999-11-01,7.90,301
302 Brisbane - North,1999-11-01,7.88,302
303 Brisbane - South,1999-11-01,9.36,303
304 Brisbane - West,1999-11-01,8.22,304
305 Brisbane Inner City,1999-11-01,9.56,305
310 Ipswich,1999-11-01,9.08,310
311 Logan - Beaudesert,1999-11-01,10.01,311
313 Moreton Bay - North,1999-11-01,7.05,313
314 Moreton Bay - South,1999-11-01,8.37,314
306 Cairns,1999-11-01,6.31,306
307 Darling Downs - Maranoa,1999-11-01,9.24,307
308 Fitzroy,1999-11-01,5.98,308
309 Gold Coast,1999-11-01,7.42,309
312 Mackay,1999-11-01,11.04,312
315 Queensland - Outback,1999-11-01,8.09,315
316 Sunshine Coast,1999-11-01,5.24,316
317 Toowoomba,1999-11-01,9.87,317
318 Townsville,1999-11-01,9.63,318
319 Wide Bay,1999-11-01,8.84,319
401 Adelaide - Central and Hills,1999-11-01,7.03,401
402 Adelaide - North,1999-11-01,8.23,402
403 Adelaide - South,1999-11-01,8.00,403
404 Adelaide - West,1999-11-01,8.67,404
405 Barossa - Yorke - Mid North,1999-11-01,9.28,405
406 South Australia - Outback,1999-11-01,6.02,406
407 South Australia - South East,1999-11-01,9.09,407
502 Mandurah,1999-11-01,6.46,502
503 Perth - Inner,1999-11-01,9.29,503
504 Perth - North East,1999-11-01,10.43,504
505 Perth - North West,1999-11-01,6.86,505
506 Perth - South East,1999-11-01,7.88,506
507 Perth - South West,1999-11-01,8.10,507
501 Bunbury,1999-11-01,8.30,501
508 Western Australia - Outback,1999-11-01,4.90,508
509 Western Australia - Wheat Belt,1999-11-01,7.38,509
601 Hobart,1999-11-01,6.41,601
602 Launceston and North East,1999-11-01,9.82,602
603 Tasmania - South East,1999-11-01,8.80,603
604 Tasmania - West and North West,1999-11-01,7.73,604
701 Darwin,1999-11-01,8.01,701
702 Northern Territory - Outback,1999-11-01,10.74,702
801 Australian Capital Territory,1999-11-01,11.94,801
102 Central Coast,2000-11-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-11-01,9.55,115
116 Sydney - Blacktown,2000-11-01,7.09,116
117 Sydney - City and Inner South,2000-11-01,8.41,117
118 Sydney - Eastern Suburbs,2000-11-01,10.09,118
119 Sydney - Inner South West,2000-11-01,7.87,119
120 Sydney - Inner West,2000-11-01,7.67,120
121 Sydney - North Sydney and Hornsby,2000-11-01,5.40,121
122 Sydney - Northern Beaches,2000-11-01,6.13,122
123 Sydney - Outer South West,2000-11-01,7.21,123
124 Sydney - Outer West and Blue Mountains,2000-11-01,6.88,124
125 Sydney - Parramatta,2000-11-01,7.49,125
126 Sydney - Ryde,2000-11-01,7.09,126
127 Sydney - South West,2000-11-01,5.55,127
128 Sydney - Sutherland,2000-11-01,5.98,128
101 Capital Region,2000-11-01,8.22,101
103 New South Wales - Central West,2000-11-01,8.82,103
104 Coffs Harbour - Grafton,2000-11-01,7.58,104
105 Far West and Orana,2000-11-01,8.23,105
106 Hunter Valley exc Newcastle,2000-11-01,7.28,106
107 Illawarra,2000-11-01,7.86,107
108 Mid North Coast,2000-11-01,5.59,108
109 Murray,2000-11-01,11.15,109
110 New England and North West,2000-11-01,5.16,110
111 Newcastle and Lake Macquarie,2000-11-01,7.94,111
112 Richmond - Tweed,2000-11-01,9.21,112
113 Riverina,2000-11-01,10.45,113
114 Southern Highlands and Shoalhaven,2000-11-01,6.84,114
206 Melbourne - Inner,2000-11-01,5.68,206
207 Melbourne - Inner East,2000-11-01,7.83,207
208 Melbourne - Inner South,2000-11-01,6.35,208
209 Melbourne - North East,2000-11-01,7.21,209
210 Melbourne - North West,2000-11-01,9.34,210
211 Melbourne - Outer East,2000-11-01,7.95,211
212 Melbourne - South East,2000-11-01,7.28,212
213 Melbourne - West,2000-11-01,5.83,213
214 Mornington Peninsula,2000-11-01,7.21,214
201 Ballarat,2000-11-01,8.04,201
202 Bendigo,2000-11-01,7.10,202
203 Geelong,2000-11-01,9.53,203
204 Hume,2000-11-01,7.74,204
205 Latrobe - Gippsland,2000-11-01,10.00,205
215 Victoria - North West,2000-11-01,8.15,215
216 Shepparton,2000-11-01,5.66,216
217 Warrnambool and South West,2000-11-01,8.15,217
301 Brisbane - East,2000-11-01,7.90,301
302 Brisbane - North,2000-11-01,7.16,302
303 Brisbane - South,2000-11-01,11.47,303
304 Brisbane - West,2000-11-01,6.53,304
305 Brisbane Inner City,2000-11-01,9.33,305
310 Ipswich,2000-11-01,8.02,310
311 Logan - Beaudesert,2000-11-01,8.44,311
313 Moreton Bay - North,2000-11-01,7.65,313
314 Moreton Bay - South,2000-11-01,8.40,314
306 Cairns,2000-11-01,7.82,306
307 Darling Downs - Maranoa,2000-11-01,11.29,307
308 Fitzroy,2000-11-01,5.88,308
309 Gold Coast,2000-11-01,7.02,309
312 Mackay,2000-11-01,10.43,312
315 Queensland - Outback,2000-11-01,8.27,315
316 Sunshine Coast,2000-11-01,5.81,316
317 Toowoomba,2000-11-01,10.42,317
318 Townsville,2000-11-01,8.17,318
319 Wide Bay,2000-11-01,9.78,319
401 Adelaide - Central and Hills,2000-11-01,8.56,401
402 Adelaide - North,2000-11-01,6.79,402
403 Adelaide - South,2000-11-01,9.45,403
404 Adelaide - West,2000-11-01,8.86,404
405 Barossa - Yorke - Mid North,2000-11-01,8.93,405
406 South Australia - Outback,2000-11-01,7.37,406
407 South Australia - South East,2000-11-01,8.24,407
502 Mandurah,2000-11-01,7.02,502
503 Perth - Inner,2000-11-01,9.95,503
504 Perth - North East,2000-11-01,8.88,504
505 Perth - North West,2000-11-01,11.23,505
506 Perth - South East,2000-11-01,9.22,506
507 Perth - South West,2000-11-01,8.10,507
501 Bunbury,2000-11-01,8.54,501
508 Western Australia - Outback,2000-11-01,6.18,508
509 Western Australia - Wheat Belt,2000-11-01,6.74,509
601 Hobart,2000-11-01,6.64,601
602 Launceston and North East,2000-11-01,9.69,602
603 Tasmania - South East,2000-11-01,9.37,603
604 Tasmania - West and North West,2000-11-01,5.63,604
701 Darwin,2000-11-01,8.10,701
702 Northern Territory - Outback,2000-11-01,8.96,702
801 Australian Capital Territory,2000-11-01,11.62,801
102 Central Coast,2001-11-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-11-01,8.47,115
116 Sydney - Blacktown,2001-11-01,6.55,116
117 Sydney - City and Inner South,2001-11-01,7.33,117
118 Sydney - Eastern Suburbs,2001-11-01,10.73,118
119 Sydney - Inner South West,2001-11-01,7.63,119
120 Sydney - Inner West,2001-11-01,8.35,120
121 Sydney - North Sydney and Hornsby,2001-11-01,6.91,121
122 Sydney - Northern Beaches,2001-11-01,6.63,122
123 Sydney - Outer South West,2001-11-01,8.23,123
124 Sydney - Outer West and Blue Mountains,2001-11-01,9.95,124
125 Sydney - Parramatta,2001-11-01,8.84,125
126 Sydney - Ryde,2001-11-01,4.91,126
127 Sydney - South West,2001-11-01,6.17,127
128 Sydney - Sutherland,2001-11-01,7.06,128
101 Capital Region,2001-11-01,9.93,101
103 New South Wales - Central West,2001-11-01,8.95,103
104 Coffs Harbour - Grafton,2001-11-01,9.05,104
105 Far West and Orana,2001-11-01,9.81,105
106 Hunter Valley exc Newcastle,2001-11-01,8.18,106
107 Illawarra,2001-11-01,9.61,107
108 Mid North Coast,2001-11-01,7.37,108
109 Murray,2001-11-01,9.25,109
110 New England and North West,2001-11-01,9.90,110
111 Newcastle and Lake Macquarie,2001-11-01,6.61,111
112 Richmond - Tweed,2001-11-01,9.66,112
113 Riverina,2001-11-01,10.27,113
114 Southern Highlands and Shoalhaven,2001-11-01,6.42,114
206 Melbourne - Inner,2001-11-01,8.88,206
207 Melbourne - Inner East,2001-11-01,8.07,207
208 Melbourne - Inner South,2001-11-01,6.40,208
209 Melbourne - North East,2001-11-01,6.16,209
210 Melbourne - North West,2001-11-01,7.63,210
211 Melbourne - Outer East,2001-11-01,6.73,211
212 Melbourne - South East,2001-11-01,7.75,212
213 Melbourne - West,2001-11-01,5.92,213
214 Mornington Peninsula,2001-11-01,7.07,214
201 Ballarat,2001-11-01,8.16,201
202 Bendigo,2001-11-01,7.77,202
203 Geelong,2001-11-01,9.87,203
204 Hume,2001-11-01,7.76,204
205 Latrobe - Gippsland,2001-11-01,11.35,205
215 Victoria - North West,2001-11-01,7.10,215
216 Shepparton,2001-11-01,8.78,216
217 Warrnambool and South West,2001-11-01,4.77,217
301 Brisbane - East,2001-11-01,8.75,301
302 Brisbane - North,2001-11-01,7.16,302
303 Brisbane - South,2001-11-01,7.33,303
304 Brisbane - West,2001-11-01,8.39,304
305 Brisbane Inner City,2001-11-01,8.00,305
310 Ipswich,2001-11-01,9.41,310
311 Logan - Beaudesert,2001-11-01,8.53,311
313 Moreton Bay - North,2001-11-01,7.92,313
314 Moreton Bay - South,2001-11-01,11.15,314
306 Cairns,2001-11-01,10.71,306
307 Darling Downs - Maranoa,2001-11-01,9.73,307
308 Fitzroy,2001-11-01,5.35,308
309 Gold Coast,2001-11-01,7.61,309
312 Mackay,2001-11-01,9.86,312
315 Queensland - Outback,2001-11-01,7.86,315
316 Sunshine Coast,2001-11-01,8.72,316
317 Toowoomba,2001-11-01,10.16,317
318 Townsville,2001-11-01,10.48,318
319 Wide Bay,2001-11-01,8.93,319
401 Adelaide - Central and Hills,2001-11-01,9.20,401
402 Adelaide - North,2001-11-01,7.73,402
403 Adelaide - South,2001-11-01,8.79,403
404 Adelaide - West,2001-11-01,9.31,404
405 Barossa - Yorke - Mid North,2001-11-01,9.43,405
406 South Australia - Outback,2001-11-01,8.51,406
407 South Australia - South East,2001-11-01,8.08,407
502 Mandurah,2001-11-01,7.62,502
503 Perth - Inner,2001-11-01,9.67,503
504 Perth - North East,2001-11-01,7.84,504
505 Perth - North West,2001-11-01,11.04,505
506 Perth - South East,2001-11-01,9.08,506
507 Perth - South West,2001-11-01,8.82,507
501 Bunbury,2001-11-01,9.36,501
508 Western Australia - Outback,2001-11-01,8.58,508
509 Western Australia - Wheat Belt,2001-11-01,9.63,509
601 Hobart,2001-11-01,5.65,601
602 Launceston and North East,2001-11-01,10.15,602
603 Tasmania - South East,2001-11-01,7.06,603
604 Tasmania - West and North West,2001-11-01,4.20,604
701 Darwin,2001-11-01,9.58,701
702 Northern Territory - Outback,2001-11-01,9.82,702
801 Australian Capital Territory,2001-11-01,11.24,801
102 Central Coast,2002-11-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-11-01,10.20,115
116 Sydney - Blacktown,2002-11-01,6.62,116
117 Sydney - City and Inner South,2002-11-01,7.26,117
118 Sydney - Eastern Suburbs,2002-11-01,9.68,118
119 Sydney - Inner South West,2002-11-01,8.18,119
120 Sydney - Inner West,2002-11-01,6.63,120
121 Sydney - North Sydney and Hornsby,2002-11-01,7.29,121
122 Sydney - Northern Beaches,2002-11-01,5.25,122
123 Sydney - Outer South West,2002-11-01,6.82,123
124 Sydney - Outer West and Blue Mountains,2002-11-01,8.55,124
125 Sydney - Parramatta,2002-11-01,8.18,125
126 Sydney - Ryde,2002-11-01,5.49,126
127 Sydney - South West,2002-11-01,6.42,127
128 Sydney - Sutherland,2002-11-01,6.81,128
101 Capital Region,2002-11-01,8.18,101
103 New South Wales - Central West,2002-11-01,10.62,103
104 Coffs Harbour - Grafton,2002-11-01,7.52,104
105 Far West and Orana,2002-11-01,8.50,105
106 Hunter Valley exc Newcastle,2002-11-01,7.48,106
107 Illawarra,2002-11-01,6.41,107
108 Mid North Coast,2002-11-01,8.84,108
109 Murray,2002-11-01,9.11,109
110 New England and North West,2002-11-01,7.80,110
111 Newcastle and Lake Macquarie,2002-11-01,9.05,111
112 Richmond - Tweed,2002-11-01,9.88,112
113 Riverina,2002-11-01,8.42,113
114 Southern Highlands and Shoalhaven,2002-11-01,8.90,114
206 Melbourne - Inner,2002-11-01,8.68,206
207 Melbourne - Inner East,2002-11-01,7.77,207
208 Melbourne - Inner South,2002-11-01,7.11,208
209 Melbourne - North East,2002-11-01,7.06,209
210 Melbourne - North West,2002-11-01,8.22,210
211 Melbourne - Outer East,2002-11-01,8.90,211
212 Melbourne - South East,2002-11-01,7.23,212
213 Melbourne - West,2002-11-01,6.82,213
214 Mornington Peninsula,2002-11-01,7.30,214
201 Ballarat,2002-11-01,7.02,201
202 Bendigo,2002-11-01,10.91,202
203 Geelong,2002-11-01,7.60,203
204 Hume,2002-11-01,8.46,204
205 Latrobe - Gippsland,2002-11-01,10.84,205
215 Victoria - North West,2002-11-01,7.97,215
216 Shepparton,2002-11-01,6.20,216
217 Warrnambool and South West,2002-11-01,7.40,217
301 Brisbane - East,2002-11-01,7.53,301
302 Brisbane - North,2002-11-01,8.09,302
303 Brisbane - South,2002-11-01,8.91,303
304 Brisbane - West,2002-11-01,8.71,304
305 Brisbane Inner City,2002-11-01,8.76,305
310 Ipswich,2002-11-01,9.38,310
311 Logan - Beaudesert,2002-11-01,8.79,311
313 Moreton Bay - North,2002-11-01,8.18,313
314 Moreton Bay - South,2002-11-01,11.79,314
306 Cairns,2002-11-01,8.08,306
307 Darling Downs - Maranoa,2002-11-01,10.33,307
308 Fitzroy,2002-11-01,9.50,308
309 Gold Coast,2002-11-01,10.12,309
312 Mackay,2002-11-01,9.40,312
315 Queensland - Outback,2002-11-01,7.16,315
316 Sunshine Coast,2002-11-01,12.91,316
317 Toowoomba,2002-11-01,10.79,317
318 Townsville,2002-11-01,8.30,318
319 Wide Bay,2002-11-01,12.56,319
401 Adelaide - Central and Hills,2002-11-01,9.20,401
402 Adelaide - North,2002-11-01,8.60,402
403 Adelaide - South,2002-11-01,9.24,403
404 Adelaide - West,2002-11-01,9.98,404
405 Barossa - Yorke - Mid North,2002-11-01,10.69,405
406 South Australia - Outback,2002-11-01,7.12,406
407 South Australia - South East,2002-11-01,11.32,407
502 Mandurah,2002-11-01,7.94,502
503 Perth - Inner,2002-11-01,10.22,503
504 Perth - North East,2002-11-01,6.67,504
505 Perth - North West,2002-11-01,9.92,505
506 Perth - South East,2002-11-01,8.77,506
507 Perth - South West,2002-11-01,8.34,507
501 Bunbury,2002-11-01,9.15,501
508 Western Australia - Outback,2002-11-01,7.67,508
509 Western Australia - Wheat Belt,2002-11-01,8.42,509
601 Hobart,2002-11-01,6.56,601
602 Launceston and North East,2002-11-01,11.29,602
603 Tasmania - South East,2002-11-01,7.10,603
604 Tasmania - West and North West,2002-11-01,4.59,604
701 Darwin,2002-11-01,8.65,701
702 Northern Territory - Outback,2002-11-01,9.54,702
801 Australian Capital Territory,2002-11-01,13.81,801
102 Central Coast,2003-11-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-11-01,7.37,115
116 Sydney - Blacktown,2003-11-01,5.55,116
117 Sydney - City and Inner South,2003-11-01,8.06,117
118 Sydney - Eastern Suburbs,2003-11-01,9.59,118
119 Sydney - Inner South West,2003-11-01,8.48,119
120 Sydney - Inner West,2003-11-01,7.94,120
121 Sydney - North Sydney and Hornsby,2003-11-01,6.19,121
122 Sydney - Northern Beaches,2003-11-01,6.65,122
123 Sydney - Outer South West,2003-11-01,8.12,123
124 Sydney - Outer West and Blue Mountains,2003-11-01,8.81,124
125 Sydney - Parramatta,2003-11-01,9.86,125
126 Sydney - Ryde,2003-11-01,6.46,126
127 Sydney - South West,2003-11-01,6.65,127
128 Sydney - Sutherland,2003-11-01,5.35,128
101 Capital Region,2003-11-01,7.86,101
103 New South Wales - Central West,2003-11-01,8.46,103
104 Coffs Harbour - Grafton,2003-11-01,6.86,104
105 Far West and Orana,2003-11-01,7.43,105
106 Hunter Valley exc Newcastle,2003-11-01,10.98,106
107 Illawarra,2003-11-01,9.33,107
108 Mid North Coast,2003-11-01,8.54,108
109 Murray,2003-11-01,9.57,109
110 New England and North West,2003-11-01,8.88,110
111 Newcastle and Lake Macquarie,2003-11-01,7.81,111
112 Richmond - Tweed,2003-11-01,8.90,112
113 Riverina,2003-11-01,8.49,113
114 Southern Highlands and Shoalhaven,2003-11-01,6.85,114
206 Melbourne - Inner,2003-11-01,10.74,206
207 Melbourne - Inner East,2003-11-01,7.91,207
208 Melbourne - Inner South,2003-11-01,6.80,208
209 Melbourne - North East,2003-11-01,6.53,209
210 Melbourne - North West,2003-11-01,8.01,210
211 Melbourne - Outer East,2003-11-01,7.36,211
212 Melbourne - South East,2003-11-01,8.22,212
213 Melbourne - West,2003-11-01,5.93,213
214 Mornington Peninsula,2003-11-01,6.93,214
201 Ballarat,2003-11-01,7.66,201
202 Bendigo,2003-11-01,9.16,202
203 Geelong,2003-11-01,8.79,203
204 Hume,2003-11-01,10.30,204
205 Latrobe - Gippsland,2003-11-01,10.43,205
215 Victoria - North West,2003-11-01,6.38,215
216 Shepparton,2003-11-01,7.34,216
217 Warrnambool and South West,2003-11-01,10.11,217
301 Brisbane - East,2003-11-01,5.79,301
302 Brisbane - North,2003-11-01,8.45,302
303 Brisbane - South,2003-11-01,9.12,303
304 Brisbane - West,2003-11-01,8.63,304
305 Brisbane Inner City,2003-11-01,8.92,305
310 Ipswich,2003-11-01,8.79,310
311 Logan - Beaudesert,2003-11-01,10.16,311
313 Moreton Bay - North,2003-11-01,8.77,313
314 Moreton Bay - South,2003-11-01,9.80,314
306 Cairns,2003-11-01,10.78,306
307 Darling Downs - Maranoa,2003-11-01,11.20,307
308 Fitzroy,2003-11-01,8.57,308
309 Gold Coast,2003-11-01,10.90,309
312 Mackay,2003-11-01,11.11,312
315 Queensland - Outback,2003-11-01,7.90,315
316 Sunshine Coast,2003-11-01,9.00,316
317 Toowoomba,2003-11-01,10.60,317
318 Townsville,2003-11-01,8.89,318
319 Wide Bay,2003-11-01,10.71,319
401 Adelaide - Central and Hills,2003-11-01,9.15,401
402 Adelaide - North,2003-11-01,8.30,402
403 Adelaide - South,2003-11-01,10.42,403
404 Adelaide - West,2003-11-01,9.61,404
405 Barossa - Yorke - Mid North,2003-11-01,10.51,405
406 South Australia - Outback,2003-11-01,8.40,406
407 South Australia - South East,2003-11-01,8.81,407
502 Mandurah,2003-11-01,9.54,502
503 Perth - Inner,2003-11-01,9.48,503
504 Perth - North East,2003-11-01,8.28,504
505 Perth - North West,2003-11-01,10.83,505
506 Perth - South East,2003-11-01,8.71,506
507 Perth - South West,2003-11-01,8.14,507
501 Bunbury,2003-11-01,9.04,501
508 Western Australia - Outback,2003-11-01,7.37,508
509 Western Australia - Wheat Belt,2003-11-01,7.42,509
601 Hobart,2003-11-01,5.32,601
602 Launceston and North East,2003-11-01,9.70,602
603 Tasmania - South East,2003-11-01,8.38,603
604 Tasmania - West and North West,2003-11-01,6.54,604
701 Darwin,2003-11-01,8.22,701
702 Northern Territory - Outback,2003-11-01,10.29,702
801 Australian Capital Territory,2003-11-01,15.19,801
102 Central Coast,2004-11-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-11-01,8.56,115
116 Sydney - Blacktown,2004-11-01,7.21,116
117 Sydney - City and Inner South,2004-11-01,7.76,117
118 Sydney - Eastern Suburbs,2004-11-01,8.37,118
119 Sydney - Inner South West,2004-11-01,8.41,119
120 Sydney - Inner West,2004-11-01,7.96,120
121 Sydney - North Sydney and Hornsby,2004-11-01,6.20,121
122 Sydney - Northern Beaches,2004-11-01,7.82,122
123 Sydney - Outer South West,2004-11-01,7.37,123
124 Sydney - Outer West and Blue Mountains,2004-11-01,8.33,124
125 Sydney - Parramatta,2004-11-01,9.49,125
126 Sydney - Ryde,2004-11-01,6.76,126
127 Sydney - South West,2004-11-01,8.17,127
128 Sydney - Sutherland,2004-11-01,6.58,128
101 Capital Region,2004-11-01,7.32,101
103 New South Wales - Central West,2004-11-01,6.70,103
104 Coffs Harbour - Grafton,2004-11-01,9.14,104
105 Far West and Orana,2004-11-01,5.18,105
106 Hunter Valley exc Newcastle,2004-11-01,7.51,106
107 Illawarra,2004-11-01,11.63,107
108 Mid North Coast,2004-11-01,7.94,108
109 Murray,2004-11-01,9.00,109
110 New England and North West,2004-11-01,11.06,110
111 Newcastle and Lake Macquarie,2004-11-01,9.57,111
112 Richmond - Tweed,2004-11-01,9.81,112
113 Riverina,2004-11-01,9.65,113
114 Southern Highlands and Shoalhaven,2004-11-01,8.22,114
206 Melbourne - Inner,2004-11-01,8.05,206
207 Melbourne - Inner East,2004-11-01,8.71,207
208 Melbourne - Inner South,2004-11-01,8.18,208
209 Melbourne - North East,2004-11-01,7.79,209
210 Melbourne - North West,2004-11-01,7.66,210
211 Melbourne - Outer East,2004-11-01,7.88,211
212 Melbourne - South East,2004-11-01,8.86,212
213 Melbourne - West,2004-11-01,6.55,213
214 Mornington Peninsula,2004-11-01,7.46,214
201 Ballarat,2004-11-01,9.39,201
202 Bendigo,2004-11-01,12.65,202
203 Geelong,2004-11-01,10.18,203
204 Hume,2004-11-01,9.98,204
205 Latrobe - Gippsland,2004-11-01,9.00,205
215 Victoria - North West,2004-11-01,9.21,215
216 Shepparton,2004-11-01,7.82,216
217 Warrnambool and South West,2004-11-01,9.28,217
301 Brisbane - East,2004-11-01,6.72,301
302 Brisbane - North,2004-11-01,8.55,302
303 Brisbane - South,2004-11-01,8.14,303
304 Brisbane - West,2004-11-01,8.18,304
305 Brisbane Inner City,2004-11-01,6.85,305
310 Ipswich,2004-11-01,8.33,310
311 Logan - Beaudesert,2004-11-01,9.75,311
313 Moreton Bay - North,2004-11-01,9.42,313
314 Moreton Bay - South,2004-11-01,9.16,314
306 Cairns,2004-11-01,7.29,306
307 Darling Downs - Maranoa,2004-11-01,9.80,307
308 Fitzroy,2004-11-01,6.93,308
309 Gold Coast,2004-11-01,8.74,309
312 Mackay,2004-11-01,10.18,312
315 Queensland - Outback,2004-11-01,8.64,315
316 Sunshine Coast,2004-11-01,9.33,316
317 Toowoomba,2004-11-01,8.93,317
318 Townsville,2004-11-01,7.63,318
319 Wide Bay,2004-11-01,8.66,319
401 Adelaide - Central and Hills,2004-11-01,7.86,401
402 Adelaide - North,2004-11-01,7.75,402
403 Adelaide - South,2004-11-01,9.65,403
404 Adelaide - West,2004-11-01,10.83,404
405 Barossa - Yorke - Mid North,2004-11-01,7.78,405
406 South Australia - Outback,2004-11-01,7.65,406
407 South Australia - South East,2004-11-01,7.57,407
502 Mandurah,2004-11-01,7.62,502
503 Perth - Inner,2004-11-01,8.65,503
504 Perth - North East,2004-11-01,8.91,504
505 Perth - North West,2004-11-01,9.86,505
506 Perth - South East,2004-11-01,9.18,506
507 Perth - South West,2004-11-01,9.60,507
501 Bunbury,2004-11-01,9.03,501
508 Western Australia - Outback,2004-11-01,7.15,508
509 Western Australia - Wheat Belt,2004-11-01,9.53,509
601 Hobart,2004-11-01,6.78,601
602 Launceston and North East,2004-11-01,10.57,602
603 Tasmania - South East,2004-11-01,10.34,603
604 Tasmania - West and North West,2004-11-01,7.94,604
701 Darwin,2004-11-01,10.13,701
702 Northern Territory - Outback,2004-11-01,9.88,702
801 Australian Capital Territory,2004-11-01,13.21,801
102 Central Coast,2005-11-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-11-01,10.27,115
116 Sydney - Blacktown,2005-11-01,6.86,116
117 Sydney - City and Inner South,2005-11-01,8.36,117
118 Sydney - Eastern Suburbs,2005-11-01,7.81,118
119 Sydney - Inner South West,2005-11-01,8.59,119
120 Sydney - Inner West,2005-11-01,6.75,120
121 Sydney - North Sydney and Hornsby,2005-11-01,6.48,121
122 Sydney - Northern Beaches,2005-11-01,6.01,122
123 Sydney - Outer South West,2005-11-01,9.10,123
124 Sydney - Outer West and Blue Mountains,2005-11-01,9.74,124
125 Sydney - Parramatta,2005-11-01,10.44,125
126 Sydney - Ryde,2005-11-01,6.08,126
127 Sydney - South West,2005-11-01,5.76,127
128 Sydney - Sutherland,2005-11-01,7.28,128
101 Capital Region,2005-11-01,8.60,101
103 New South Wales - Central West,2005-11-01,9.14,103
104 Coffs Harbour - Grafton,2005-11-01,5.71,104
105 Far West and Orana,2005-11-01,8.04,105
106 Hunter Valley exc Newcastle,2005-11-01,9.08,106
107 Illawarra,2005-11-01,7.52,107
108 Mid North Coast,2005-11-01,11.03,108
109 Murray,2005-11-01,8.09,109
110 New England and North West,2005-11-01,7.27,110
111 Newcastle and Lake Macquarie,2005-11-01,7.96,111
112 Richmond - Tweed,2005-11-01,10.21,112
113 Riverina,2005-11-01,6.51,113
114 Southern Highlands and Shoalhaven,2005-11-01,9.13,114
206 Melbourne - Inner,2005-11-01,10.32,206
207 Melbourne - Inner East,2005-11-01,9.91,207
208 Melbourne - Inner South,2005-11-01,7.23,208
209 Melbourne - North East,2005-11-01,7.13,209
210 Melbourne - North West,2005-11-01,9.59,210
211 Melbourne - Outer East,2005-11-01,9.61,211
212 Melbourne - South East,2005-11-01,8.22,212
213 Melbourne - West,2005-11-01,7.95,213
214 Mornington Peninsula,2005-11-01,8.32,214
201 Ballarat,2005-11-01,9.58,201
202 Bendigo,2005-11-01,10.10,202
203 Geelong,2005-11-01,9.17,203
204 Hume,2005-11-01,10.73,204
205 Latrobe - Gippsland,2005-11-01,9.62,205
215 Victoria - North West,2005-11-01,8.70,215
216 Shepparton,2005-11-01,7.27,216
217 Warrnambool and South West,2005-11-01,5.97,217
301 Brisbane - East,2005-11-01,6.82,301
302 Brisbane - North,2005-11-01,8.42,302
303 Brisbane - South,2005-11-01,8.85,303
304 Brisbane - West,2005-11-01,6.86,304
305 Brisbane Inner City,2005-11-01,8.20,305
310 Ipswich,2005-11-01,8.55,310
311 Logan - Beaudesert,2005-11-01,10.90,311
313 Moreton Bay - North,2005-11-01,7.24,313
314 Moreton Bay - South,2005-11-01,9.41,314
306 Cairns,2005-11-01,8.04,306
307 Darling Downs - Maranoa,2005-11-01,12.69,307
308 Fitzroy,2005-11-01,5.38,308
309 Gold Coast,2005-11-01,8.92,309
312 Mackay,2005-11-01,8.97,312
315 Queensland - Outback,2005-11-01,6.62,315
316 Sunshine Coast,2005-11-01,9.49,316
317 Toowoomba,2005-11-01,10.33,317
318 Townsville,2005-11-01,7.06,318
319 Wide Bay,2005-11-01,9.45,319
401 Adelaide - Central and Hills,2005-11-01,7.47,401
402 Adelaide - North,2005-11-01,8.85,402
403 Adelaide - South,2005-11-01,9.80,403
404 Adelaide - West,2005-11-01,9.64,404
405 Barossa - Yorke - Mid North,2005-11-01,8.09,405
