Labour market region (SA4): ASGS (2011),date,percent of parttime workers,sa4_code_2011
201 Ballarat,2004-08-01,8.98,201
202 Bendigo,2004-08-01,11.20,202
203 Geelong,2004-08-01,9.76,203
204 Hume,2004-08-01,8.45,204
205 Latrobe - Gippsland,2004-08-01,8.92,205
215 Victoria - North West,2004-08-01,9.00,215
216 Shepparton,2004-08-01,7.08,216
217 Warrnambool and South West,2004-08-01,10.38,217
301 Brisbane - East,2004-08-01,5.21,301
302 Brisbane - North,2004-08-01,8.12,302
303 Brisbane - South,2004-08-01,8.17,303
304 Brisbane - West,2004-08-01,8.33,304
305 Brisbane Inner City,2004-08-01,6.56,305
310 Ipswich,2004-08-01,8.82,310
311 Logan - Beaudesert,2004-08-01,9.48,311
313 Moreton Bay - North,2004-08-01,9.29,313
314 Moreton Bay - South,2004-08-01,9.33,314
306 Cairns,2004-08-01,7.80,306
307 Darling Downs - Maranoa,2004-08-01,9.85,307
308 Fitzroy,2004-08-01,7.32,308
309 Gold Coast,2004-08-01,10.15,309
312 Mackay,2004-08-01,11.34,312
315 Queensland - Outback,2004-08-01,9.39,315
316 Sunshine Coast,2004-08-01,10.06,316
317 Toowoomba,2004-08-01,9.20,317
318 Townsville,2004-08-01,7.34,318
319 Wide Bay,2004-08-01,9.16,319
401 Adelaide - Central and Hills,2004-08-01,7.48,401
402 Adelaide - North,2004-08-01,7.74,402
403 Adelaide - South,2004-08-01,10.05,403
404 Adelaide - West,2004-08-01,10.87,404
405 Barossa - Yorke - Mid North,2004-08-01,7.46,405
406 South Australia - Outback,2004-08-01,8.38,406
407 South Australia - South East,2004-08-01,8.17,407
502 Mandurah,2004-08-01,7.49,502
503 Perth - Inner,2004-08-01,9.25,503
504 Perth - North East,2004-08-01,7.89,504
505 Perth - North West,2004-08-01,10.22,505
506 Perth - South East,2004-08-01,9.16,506
507 Perth - South West,2004-08-01,9.43,507
501 Bunbury,2004-08-01,9.11,501
508 Western Australia - Outback,2004-08-01,7.33,508
509 Western Australia - Wheat Belt,2004-08-01,8.78,509
601 Hobart,2004-08-01,6.38,601
602 Launceston and North East,2004-08-01,11.24,602
603 Tasmania - South East,2004-08-01,10.05,603
604 Tasmania - West and North West,2004-08-01,6.59,604
