Labour market region (SA4): ASGS (2011),date,percent total,sa4_code_2011
701 Darwin,2001-08-01,30.34,701
702 Northern Territory - Outback,2001-08-01,44.07,702
801 Australian Capital Territory,2001-08-01,20.52,801
102 Central Coast,2002-08-01,36.74,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-08-01,21.70,115
116 Sydney - Blacktown,2002-08-01,40.06,116
117 Sydney - City and Inner South,2002-08-01,20.52,117
118 Sydney - Eastern Suburbs,2002-08-01,17.93,118
119 Sydney - Inner South West,2002-08-01,36.12,119
120 Sydney - Inner West,2002-08-01,23.24,120
121 Sydney - North Sydney and Hornsby,2002-08-01,14.40,121
122 Sydney - Northern Beaches,2002-08-01,23.72,122
123 Sydney - Outer South West,2002-08-01,43.16,123
124 Sydney - Outer West and Blue Mountains,2002-08-01,36.75,124
125 Sydney - Parramatta,2002-08-01,36.04,125
126 Sydney - Ryde,2002-08-01,18.35,126
127 Sydney - South West,2002-08-01,46.59,127
128 Sydney - Sutherland,2002-08-01,25.97,128
101 Capital Region,2002-08-01,36.71,101
103 New South Wales - Central West,2002-08-01,39.14,103
104 Coffs Harbour - Grafton,2002-08-01,29.17,104
105 Far West and Orana,2002-08-01,32.58,105
106 Hunter Valley exc Newcastle,2002-08-01,44.23,106
107 Illawarra,2002-08-01,35.57,107
108 Mid North Coast,2002-08-01,42.65,108
109 Murray,2002-08-01,42.67,109
110 New England and North West,2002-08-01,36.60,110
111 Newcastle and Lake Macquarie,2002-08-01,36.45,111
112 Richmond - Tweed,2002-08-01,30.90,112
113 Riverina,2002-08-01,34.95,113
114 Southern Highlands and Shoalhaven,2002-08-01,36.58,114
206 Melbourne - Inner,2002-08-01,17.50,206
207 Melbourne - Inner East,2002-08-01,17.58,207
208 Melbourne - Inner South,2002-08-01,19.73,208
209 Melbourne - North East,2002-08-01,36.49,209
210 Melbourne - North West,2002-08-01,40.78,210
211 Melbourne - Outer East,2002-08-01,34.50,211
212 Melbourne - South East,2002-08-01,40.56,212
213 Melbourne - West,2002-08-01,39.99,213
214 Mornington Peninsula,2002-08-01,41.17,214
201 Ballarat,2002-08-01,37.52,201
202 Bendigo,2002-08-01,36.55,202
203 Geelong,2002-08-01,34.10,203
204 Hume,2002-08-01,38.29,204
205 Latrobe - Gippsland,2002-08-01,36.43,205
215 Victoria - North West,2002-08-01,31.66,215
216 Shepparton,2002-08-01,33.95,216
217 Warrnambool and South West,2002-08-01,39.17,217
301 Brisbane - East,2002-08-01,33.90,301
302 Brisbane - North,2002-08-01,34.28,302
303 Brisbane - South,2002-08-01,26.25,303
304 Brisbane - West,2002-08-01,20.82,304
305 Brisbane Inner City,2002-08-01,21.20,305
310 Ipswich,2002-08-01,46.70,310
311 Logan - Beaudesert,2002-08-01,47.03,311
313 Moreton Bay - North,2002-08-01,38.39,313
314 Moreton Bay - South,2002-08-01,30.76,314
306 Cairns,2002-08-01,35.49,306
307 Darling Downs - Maranoa,2002-08-01,40.60,307
308 Fitzroy,2002-08-01,43.06,308
309 Gold Coast,2002-08-01,33.85,309
312 Mackay,2002-08-01,44.09,312
315 Queensland - Outback,2002-08-01,44.76,315
316 Sunshine Coast,2002-08-01,36.17,316
317 Toowoomba,2002-08-01,40.73,317
318 Townsville,2002-08-01,28.73,318
319 Wide Bay,2002-08-01,41.53,319
401 Adelaide - Central and Hills,2002-08-01,23.47,401
402 Adelaide - North,2002-08-01,44.36,402
403 Adelaide - South,2002-08-01,34.04,403
404 Adelaide - West,2002-08-01,34.45,404
405 Barossa - Yorke - Mid North,2002-08-01,38.50,405
406 South Australia - Outback,2002-08-01,49.10,406
407 South Australia - South East,2002-08-01,42.95,407
502 Mandurah,2002-08-01,44.64,502
503 Perth - Inner,2002-08-01,16.85,503
504 Perth - North East,2002-08-01,35.98,504
505 Perth - North West,2002-08-01,32.17,505
506 Perth - South East,2002-08-01,34.55,506
507 Perth - South West,2002-08-01,33.88,507
501 Bunbury,2002-08-01,45.05,501
508 Western Australia - Outback,2002-08-01,46.02,508
509 Western Australia - Wheat Belt,2002-08-01,32.97,509
601 Hobart,2002-08-01,30.76,601
602 Launceston and North East,2002-08-01,37.41,602
603 Tasmania - South East,2002-08-01,47.68,603
604 Tasmania - West and North West,2002-08-01,40.86,604
701 Darwin,2002-08-01,30.28,701
702 Northern Territory - Outback,2002-08-01,43.48,702
801 Australian Capital Territory,2002-08-01,19.61,801
102 Central Coast,2003-08-01,38.06,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-08-01,25.61,115
116 Sydney - Blacktown,2003-08-01,38.95,116
117 Sydney - City and Inner South,2003-08-01,23.45,117
118 Sydney - Eastern Suburbs,2003-08-01,16.24,118
119 Sydney - Inner South West,2003-08-01,35.84,119
120 Sydney - Inner West,2003-08-01,21.85,120
121 Sydney - North Sydney and Hornsby,2003-08-01,13.77,121
122 Sydney - Northern Beaches,2003-08-01,23.33,122
123 Sydney - Outer South West,2003-08-01,38.40,123
124 Sydney - Outer West and Blue Mountains,2003-08-01,33.93,124
125 Sydney - Parramatta,2003-08-01,35.09,125
126 Sydney - Ryde,2003-08-01,20.00,126
127 Sydney - South West,2003-08-01,43.46,127
128 Sydney - Sutherland,2003-08-01,27.35,128
101 Capital Region,2003-08-01,34.68,101
103 New South Wales - Central West,2003-08-01,43.33,103
104 Coffs Harbour - Grafton,2003-08-01,37.36,104
105 Far West and Orana,2003-08-01,35.90,105
106 Hunter Valley exc Newcastle,2003-08-01,44.45,106
107 Illawarra,2003-08-01,38.33,107
108 Mid North Coast,2003-08-01,39.24,108
109 Murray,2003-08-01,41.75,109
110 New England and North West,2003-08-01,35.50,110
111 Newcastle and Lake Macquarie,2003-08-01,34.67,111
112 Richmond - Tweed,2003-08-01,33.82,112
113 Riverina,2003-08-01,37.32,113
114 Southern Highlands and Shoalhaven,2003-08-01,38.24,114
206 Melbourne - Inner,2003-08-01,17.85,206
207 Melbourne - Inner East,2003-08-01,18.40,207
208 Melbourne - Inner South,2003-08-01,19.41,208
209 Melbourne - North East,2003-08-01,33.10,209
210 Melbourne - North West,2003-08-01,39.67,210
211 Melbourne - Outer East,2003-08-01,33.34,211
212 Melbourne - South East,2003-08-01,40.92,212
213 Melbourne - West,2003-08-01,41.19,213
214 Mornington Peninsula,2003-08-01,40.77,214
201 Ballarat,2003-08-01,35.35,201
202 Bendigo,2003-08-01,34.63,202
203 Geelong,2003-08-01,37.29,203
204 Hume,2003-08-01,37.14,204
205 Latrobe - Gippsland,2003-08-01,37.14,205
215 Victoria - North West,2003-08-01,32.16,215
216 Shepparton,2003-08-01,40.08,216
217 Warrnambool and South West,2003-08-01,36.38,217
301 Brisbane - East,2003-08-01,38.38,301
302 Brisbane - North,2003-08-01,33.18,302
303 Brisbane - South,2003-08-01,29.00,303
304 Brisbane - West,2003-08-01,16.44,304
305 Brisbane Inner City,2003-08-01,17.46,305
310 Ipswich,2003-08-01,45.26,310
311 Logan - Beaudesert,2003-08-01,46.78,311
313 Moreton Bay - North,2003-08-01,42.59,313
314 Moreton Bay - South,2003-08-01,33.96,314
306 Cairns,2003-08-01,35.66,306
307 Darling Downs - Maranoa,2003-08-01,34.00,307
308 Fitzroy,2003-08-01,43.06,308
309 Gold Coast,2003-08-01,33.10,309
312 Mackay,2003-08-01,44.10,312
315 Queensland - Outback,2003-08-01,44.68,315
316 Sunshine Coast,2003-08-01,35.70,316
317 Toowoomba,2003-08-01,39.89,317
318 Townsville,2003-08-01,37.45,318
319 Wide Bay,2003-08-01,35.92,319
401 Adelaide - Central and Hills,2003-08-01,22.90,401
402 Adelaide - North,2003-08-01,41.87,402
403 Adelaide - South,2003-08-01,34.66,403
404 Adelaide - West,2003-08-01,33.29,404
405 Barossa - Yorke - Mid North,2003-08-01,37.15,405
406 South Australia - Outback,2003-08-01,45.97,406
407 South Australia - South East,2003-08-01,40.43,407
502 Mandurah,2003-08-01,45.70,502
503 Perth - Inner,2003-08-01,15.32,503
504 Perth - North East,2003-08-01,34.51,504
505 Perth - North West,2003-08-01,31.93,505
506 Perth - South East,2003-08-01,34.72,506
507 Perth - South West,2003-08-01,33.66,507
501 Bunbury,2003-08-01,45.57,501
508 Western Australia - Outback,2003-08-01,46.38,508
509 Western Australia - Wheat Belt,2003-08-01,37.18,509
601 Hobart,2003-08-01,30.55,601
602 Launceston and North East,2003-08-01,38.33,602
603 Tasmania - South East,2003-08-01,44.68,603
604 Tasmania - West and North West,2003-08-01,43.32,604
701 Darwin,2003-08-01,32.17,701
702 Northern Territory - Outback,2003-08-01,40.44,702
801 Australian Capital Territory,2003-08-01,19.48,801
102 Central Coast,2004-08-01,35.86,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-08-01,25.69,115
116 Sydney - Blacktown,2004-08-01,42.94,116
117 Sydney - City and Inner South,2004-08-01,21.45,117
118 Sydney - Eastern Suburbs,2004-08-01,17.20,118
119 Sydney - Inner South West,2004-08-01,36.53,119
120 Sydney - Inner West,2004-08-01,21.78,120
121 Sydney - North Sydney and Hornsby,2004-08-01,14.50,121
122 Sydney - Northern Beaches,2004-08-01,23.76,122
123 Sydney - Outer South West,2004-08-01,39.33,123
124 Sydney - Outer West and Blue Mountains,2004-08-01,34.30,124
125 Sydney - Parramatta,2004-08-01,36.92,125
126 Sydney - Ryde,2004-08-01,16.04,126
127 Sydney - South West,2004-08-01,42.56,127
128 Sydney - Sutherland,2004-08-01,28.75,128
101 Capital Region,2004-08-01,37.17,101
103 New South Wales - Central West,2004-08-01,39.92,103
104 Coffs Harbour - Grafton,2004-08-01,37.27,104
105 Far West and Orana,2004-08-01,32.59,105
106 Hunter Valley exc Newcastle,2004-08-01,42.10,106
107 Illawarra,2004-08-01,37.14,107
108 Mid North Coast,2004-08-01,36.21,108
109 Murray,2004-08-01,35.15,109
110 New England and North West,2004-08-01,32.97,110
111 Newcastle and Lake Macquarie,2004-08-01,36.09,111
112 Richmond - Tweed,2004-08-01,33.43,112
113 Riverina,2004-08-01,37.45,113
114 Southern Highlands and Shoalhaven,2004-08-01,37.70,114
206 Melbourne - Inner,2004-08-01,18.91,206
207 Melbourne - Inner East,2004-08-01,18.03,207
208 Melbourne - Inner South,2004-08-01,18.74,208
209 Melbourne - North East,2004-08-01,32.42,209
210 Melbourne - North West,2004-08-01,42.03,210
211 Melbourne - Outer East,2004-08-01,36.36,211
212 Melbourne - South East,2004-08-01,39.99,212
213 Melbourne - West,2004-08-01,40.19,213
214 Mornington Peninsula,2004-08-01,35.62,214
201 Ballarat,2004-08-01,42.57,201
202 Bendigo,2004-08-01,32.17,202
203 Geelong,2004-08-01,40.66,203
204 Hume,2004-08-01,38.63,204
205 Latrobe - Gippsland,2004-08-01,35.94,205
215 Victoria - North West,2004-08-01,33.75,215
216 Shepparton,2004-08-01,32.66,216
217 Warrnambool and South West,2004-08-01,41.26,217
301 Brisbane - East,2004-08-01,38.25,301
302 Brisbane - North,2004-08-01,31.34,302
303 Brisbane - South,2004-08-01,27.32,303
304 Brisbane - West,2004-08-01,20.37,304
305 Brisbane Inner City,2004-08-01,16.55,305
310 Ipswich,2004-08-01,43.73,310
311 Logan - Beaudesert,2004-08-01,46.41,311
313 Moreton Bay - North,2004-08-01,40.22,313
314 Moreton Bay - South,2004-08-01,38.20,314
306 Cairns,2004-08-01,35.21,306
307 Darling Downs - Maranoa,2004-08-01,36.93,307
308 Fitzroy,2004-08-01,42.80,308
309 Gold Coast,2004-08-01,32.29,309
312 Mackay,2004-08-01,41.98,312
315 Queensland - Outback,2004-08-01,42.30,315
316 Sunshine Coast,2004-08-01,34.56,316
317 Toowoomba,2004-08-01,36.28,317
318 Townsville,2004-08-01,39.41,318
319 Wide Bay,2004-08-01,38.58,319
401 Adelaide - Central and Hills,2004-08-01,22.10,401
402 Adelaide - North,2004-08-01,43.63,402
403 Adelaide - South,2004-08-01,32.01,403
404 Adelaide - West,2004-08-01,34.10,404
405 Barossa - Yorke - Mid North,2004-08-01,40.39,405
406 South Australia - Outback,2004-08-01,42.92,406
407 South Australia - South East,2004-08-01,41.97,407
502 Mandurah,2004-08-01,51.33,502
503 Perth - Inner,2004-08-01,15.44,503
504 Perth - North East,2004-08-01,35.47,504
505 Perth - North West,2004-08-01,32.45,505
506 Perth - South East,2004-08-01,37.63,506
507 Perth - South West,2004-08-01,33.30,507
501 Bunbury,2004-08-01,46.34,501
508 Western Australia - Outback,2004-08-01,42.42,508
