Labour market region (SA4): ASGS (2011),date,percent part-time,sa4_code_2011
206 Melbourne - Inner,2012-08-01,39.80,206
207 Melbourne - Inner East,2012-08-01,15.73,207
208 Melbourne - Inner South,2012-08-01,18.25,208
209 Melbourne - North East,2012-08-01,16.97,209
210 Melbourne - North West,2012-08-01,27.96,210
211 Melbourne - Outer East,2012-08-01,34.92,211
212 Melbourne - South East,2012-08-01,29.47,212
213 Melbourne - West,2012-08-01,38.65,213
214 Mornington Peninsula,2012-08-01,37.97,214
201 Ballarat,2012-08-01,33.24,201
202 Bendigo,2012-08-01,43.86,202
203 Geelong,2012-08-01,35.78,203
204 Hume,2012-08-01,36.28,204
205 Latrobe - Gippsland,2012-08-01,42.12,205
215 Victoria - North West,2012-08-01,36.81,215
216 Shepparton,2012-08-01,36.22,216
217 Warrnambool and South West,2012-08-01,41.44,217
301 Brisbane - East,2012-08-01,36.06,301
302 Brisbane - North,2012-08-01,31.47,302
303 Brisbane - South,2012-08-01,28.22,303
304 Brisbane - West,2012-08-01,24.50,304
305 Brisbane Inner City,2012-08-01,15.94,305
310 Ipswich,2012-08-01,17.36,310
311 Logan - Beaudesert,2012-08-01,39.90,311
313 Moreton Bay - North,2012-08-01,39.44,313
314 Moreton Bay - South,2012-08-01,42.86,314
306 Cairns,2012-08-01,31.18,306
307 Darling Downs - Maranoa,2012-08-01,38.41,307
308 Fitzroy,2012-08-01,37.72,308
309 Gold Coast,2012-08-01,44.73,309
312 Mackay,2012-08-01,32.20,312
315 Queensland - Outback,2012-08-01,41.79,315
316 Sunshine Coast,2012-08-01,34.69,316
317 Toowoomba,2012-08-01,29.01,317
318 Townsville,2012-08-01,30.37,318
319 Wide Bay,2012-08-01,37.04,319
401 Adelaide - Central and Hills,2012-08-01,42.44,401
402 Adelaide - North,2012-08-01,20.76,402
403 Adelaide - South,2012-08-01,35.95,403
404 Adelaide - West,2012-08-01,29.91,404
405 Barossa - Yorke - Mid North,2012-08-01,33.38,405
406 South Australia - Outback,2012-08-01,39.31,406
407 South Australia - South East,2012-08-01,42.15,407
502 Mandurah,2012-08-01,40.82,502
503 Perth - Inner,2012-08-01,42.63,503
504 Perth - North East,2012-08-01,17.11,504
505 Perth - North West,2012-08-01,37.98,505
506 Perth - South East,2012-08-01,34.45,506
507 Perth - South West,2012-08-01,35.78,507
501 Bunbury,2012-08-01,34.65,501
508 Western Australia - Outback,2012-08-01,49.58,508
509 Western Australia - Wheat Belt,2012-08-01,46.85,509
601 Hobart,2012-08-01,38.01,601
602 Launceston and North East,2012-08-01,25.76,602
603 Tasmania - South East,2012-08-01,37.28,603
604 Tasmania - West and North West,2012-08-01,42.97,604
701 Darwin,2012-08-01,42.60,701
702 Northern Territory - Outback,2012-08-01,31.47,702
801 Australian Capital Territory,2012-08-01,34.09,801
102 Central Coast,2013-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2013-08-01,36.58,115
116 Sydney - Blacktown,2013-08-01,21.86,116
117 Sydney - City and Inner South,2013-08-01,35.04,117
118 Sydney - Eastern Suburbs,2013-08-01,14.76,118
119 Sydney - Inner South West,2013-08-01,13.03,119
120 Sydney - Inner West,2013-08-01,27.90,120
121 Sydney - North Sydney and Hornsby,2013-08-01,19.25,121
122 Sydney - Northern Beaches,2013-08-01,10.83,122
123 Sydney - Outer South West,2013-08-01,22.83,123
124 Sydney - Outer West and Blue Mountains,2013-08-01,34.98,124
125 Sydney - Parramatta,2013-08-01,35.54,125
126 Sydney - Ryde,2013-08-01,32.48,126
127 Sydney - South West,2013-08-01,20.45,127
128 Sydney - Sutherland,2013-08-01,40.26,128
101 Capital Region,2013-08-01,25.69,101
103 New South Wales - Central West,2013-08-01,32.32,103
104 Coffs Harbour - Grafton,2013-08-01,43.38,104
105 Far West and Orana,2013-08-01,33.57,105
106 Hunter Valley exc Newcastle,2013-08-01,33.56,106
107 Illawarra,2013-08-01,42.84,107
108 Mid North Coast,2013-08-01,36.12,108
109 Murray,2013-08-01,35.41,109
110 New England and North West,2013-08-01,40.65,110
111 Newcastle and Lake Macquarie,2013-08-01,38.46,111
112 Richmond - Tweed,2013-08-01,32.52,112
113 Riverina,2013-08-01,35.80,113
114 Southern Highlands and Shoalhaven,2013-08-01,38.58,114
206 Melbourne - Inner,2013-08-01,39.53,206
207 Melbourne - Inner East,2013-08-01,13.29,207
208 Melbourne - Inner South,2013-08-01,15.76,208
209 Melbourne - North East,2013-08-01,18.37,209
210 Melbourne - North West,2013-08-01,29.92,210
211 Melbourne - Outer East,2013-08-01,37.70,211
212 Melbourne - South East,2013-08-01,29.83,212
213 Melbourne - West,2013-08-01,38.75,213
214 Mornington Peninsula,2013-08-01,35.33,214
201 Ballarat,2013-08-01,31.73,201
202 Bendigo,2013-08-01,41.27,202
203 Geelong,2013-08-01,33.25,203
204 Hume,2013-08-01,33.94,204
205 Latrobe - Gippsland,2013-08-01,38.32,205
215 Victoria - North West,2013-08-01,36.37,215
216 Shepparton,2013-08-01,40.09,216
217 Warrnambool and South West,2013-08-01,39.35,217
301 Brisbane - East,2013-08-01,34.37,301
302 Brisbane - North,2013-08-01,32.31,302
303 Brisbane - South,2013-08-01,27.03,303
304 Brisbane - West,2013-08-01,25.30,304
305 Brisbane Inner City,2013-08-01,15.18,305
310 Ipswich,2013-08-01,17.22,310
311 Logan - Beaudesert,2013-08-01,38.03,311
313 Moreton Bay - North,2013-08-01,40.13,313
314 Moreton Bay - South,2013-08-01,39.69,314
306 Cairns,2013-08-01,30.79,306
307 Darling Downs - Maranoa,2013-08-01,34.56,307
308 Fitzroy,2013-08-01,41.89,308
309 Gold Coast,2013-08-01,48.86,309
312 Mackay,2013-08-01,32.24,312
315 Queensland - Outback,2013-08-01,47.86,315
316 Sunshine Coast,2013-08-01,43.18,316
317 Toowoomba,2013-08-01,31.41,317
318 Townsville,2013-08-01,32.65,318
319 Wide Bay,2013-08-01,39.97,319
401 Adelaide - Central and Hills,2013-08-01,38.87,401
402 Adelaide - North,2013-08-01,20.39,402
403 Adelaide - South,2013-08-01,35.32,403
404 Adelaide - West,2013-08-01,29.29,404
405 Barossa - Yorke - Mid North,2013-08-01,34.33,405
406 South Australia - Outback,2013-08-01,36.80,406
407 South Australia - South East,2013-08-01,41.61,407
502 Mandurah,2013-08-01,41.77,502
503 Perth - Inner,2013-08-01,45.81,503
504 Perth - North East,2013-08-01,15.84,504
505 Perth - North West,2013-08-01,35.43,505
506 Perth - South East,2013-08-01,34.05,506
507 Perth - South West,2013-08-01,35.02,507
501 Bunbury,2013-08-01,35.77,501
508 Western Australia - Outback,2013-08-01,46.58,508
509 Western Australia - Wheat Belt,2013-08-01,48.51,509
601 Hobart,2013-08-01,36.89,601
602 Launceston and North East,2013-08-01,28.73,602
603 Tasmania - South East,2013-08-01,35.06,603
604 Tasmania - West and North West,2013-08-01,42.26,604
701 Darwin,2013-08-01,39.62,701
702 Northern Territory - Outback,2013-08-01,31.43,702
801 Australian Capital Territory,2013-08-01,34.10,801
102 Central Coast,2014-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2014-08-01,35.23,115
116 Sydney - Blacktown,2014-08-01,21.61,116
117 Sydney - City and Inner South,2014-08-01,36.59,117
118 Sydney - Eastern Suburbs,2014-08-01,16.47,118
119 Sydney - Inner South West,2014-08-01,14.73,119
120 Sydney - Inner West,2014-08-01,26.93,120
121 Sydney - North Sydney and Hornsby,2014-08-01,18.65,121
122 Sydney - Northern Beaches,2014-08-01,10.60,122
123 Sydney - Outer South West,2014-08-01,17.13,123
124 Sydney - Outer West and Blue Mountains,2014-08-01,38.63,124
125 Sydney - Parramatta,2014-08-01,33.34,125
126 Sydney - Ryde,2014-08-01,29.57,126
127 Sydney - South West,2014-08-01,17.07,127
128 Sydney - Sutherland,2014-08-01,39.61,128
101 Capital Region,2014-08-01,21.70,101
103 New South Wales - Central West,2014-08-01,36.25,103
104 Coffs Harbour - Grafton,2014-08-01,39.70,104
105 Far West and Orana,2014-08-01,34.61,105
106 Hunter Valley exc Newcastle,2014-08-01,31.14,106
107 Illawarra,2014-08-01,46.61,107
108 Mid North Coast,2014-08-01,34.57,108
109 Murray,2014-08-01,33.09,109
110 New England and North West,2014-08-01,43.43,110
111 Newcastle and Lake Macquarie,2014-08-01,46.77,111
112 Richmond - Tweed,2014-08-01,34.19,112
113 Riverina,2014-08-01,35.01,113
114 Southern Highlands and Shoalhaven,2014-08-01,38.35,114
206 Melbourne - Inner,2014-08-01,35.43,206
207 Melbourne - Inner East,2014-08-01,13.59,207
208 Melbourne - Inner South,2014-08-01,16.57,208
209 Melbourne - North East,2014-08-01,16.34,209
210 Melbourne - North West,2014-08-01,30.79,210
211 Melbourne - Outer East,2014-08-01,30.52,211
212 Melbourne - South East,2014-08-01,29.99,212
213 Melbourne - West,2014-08-01,34.76,213
214 Mornington Peninsula,2014-08-01,35.77,214
201 Ballarat,2014-08-01,34.36,201
202 Bendigo,2014-08-01,36.39,202
203 Geelong,2014-08-01,39.92,203
204 Hume,2014-08-01,30.80,204
205 Latrobe - Gippsland,2014-08-01,35.03,205
215 Victoria - North West,2014-08-01,37.17,215
216 Shepparton,2014-08-01,39.99,216
217 Warrnambool and South West,2014-08-01,35.73,217
301 Brisbane - East,2014-08-01,32.51,301
302 Brisbane - North,2014-08-01,35.74,302
303 Brisbane - South,2014-08-01,23.19,303
304 Brisbane - West,2014-08-01,27.29,304
305 Brisbane Inner City,2014-08-01,18.54,305
310 Ipswich,2014-08-01,15.55,310
311 Logan - Beaudesert,2014-08-01,38.27,311
313 Moreton Bay - North,2014-08-01,42.25,313
314 Moreton Bay - South,2014-08-01,38.86,314
306 Cairns,2014-08-01,26.85,306
307 Darling Downs - Maranoa,2014-08-01,38.88,307
308 Fitzroy,2014-08-01,44.11,308
309 Gold Coast,2014-08-01,40.51,309
312 Mackay,2014-08-01,32.53,312
315 Queensland - Outback,2014-08-01,51.31,315
316 Sunshine Coast,2014-08-01,45.72,316
317 Toowoomba,2014-08-01,34.71,317
318 Townsville,2014-08-01,35.97,318
319 Wide Bay,2014-08-01,40.12,319
401 Adelaide - Central and Hills,2014-08-01,34.71,401
402 Adelaide - North,2014-08-01,19.26,402
403 Adelaide - South,2014-08-01,35.06,403
404 Adelaide - West,2014-08-01,31.94,404
405 Barossa - Yorke - Mid North,2014-08-01,31.74,405
406 South Australia - Outback,2014-08-01,41.92,406
407 South Australia - South East,2014-08-01,45.65,407
502 Mandurah,2014-08-01,41.99,502
503 Perth - Inner,2014-08-01,50.64,503
504 Perth - North East,2014-08-01,16.47,504
505 Perth - North West,2014-08-01,35.46,505
506 Perth - South East,2014-08-01,32.92,506
507 Perth - South West,2014-08-01,32.98,507
501 Bunbury,2014-08-01,35.35,501
508 Western Australia - Outback,2014-08-01,39.15,508
509 Western Australia - Wheat Belt,2014-08-01,49.06,509
601 Hobart,2014-08-01,38.08,601
602 Launceston and North East,2014-08-01,27.78,602
603 Tasmania - South East,2014-08-01,35.57,603
604 Tasmania - West and North West,2014-08-01,40.04,604
701 Darwin,2014-08-01,42.43,701
702 Northern Territory - Outback,2014-08-01,33.16,702
801 Australian Capital Territory,2014-08-01,30.53,801
102 Central Coast,2015-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2015-08-01,35.42,115
116 Sydney - Blacktown,2015-08-01,24.46,116
117 Sydney - City and Inner South,2015-08-01,36.83,117
118 Sydney - Eastern Suburbs,2015-08-01,13.15,118
119 Sydney - Inner South West,2015-08-01,14.41,119
120 Sydney - Inner West,2015-08-01,29.96,120
121 Sydney - North Sydney and Hornsby,2015-08-01,16.02,121
122 Sydney - Northern Beaches,2015-08-01,11.62,122
123 Sydney - Outer South West,2015-08-01,18.73,123
124 Sydney - Outer West and Blue Mountains,2015-08-01,35.31,124
125 Sydney - Parramatta,2015-08-01,35.42,125
126 Sydney - Ryde,2015-08-01,30.69,126
127 Sydney - South West,2015-08-01,16.21,127
128 Sydney - Sutherland,2015-08-01,44.35,128
101 Capital Region,2015-08-01,25.83,101
103 New South Wales - Central West,2015-08-01,34.63,103
104 Coffs Harbour - Grafton,2015-08-01,38.17,104
105 Far West and Orana,2015-08-01,31.52,105
106 Hunter Valley exc Newcastle,2015-08-01,30.86,106
107 Illawarra,2015-08-01,45.88,107
108 Mid North Coast,2015-08-01,34.90,108
109 Murray,2015-08-01,33.98,109
110 New England and North West,2015-08-01,42.78,110
111 Newcastle and Lake Macquarie,2015-08-01,48.95,111
112 Richmond - Tweed,2015-08-01,31.87,112
113 Riverina,2015-08-01,33.92,113
114 Southern Highlands and Shoalhaven,2015-08-01,32.72,114
206 Melbourne - Inner,2015-08-01,35.78,206
207 Melbourne - Inner East,2015-08-01,13.52,207
208 Melbourne - Inner South,2015-08-01,14.25,208
209 Melbourne - North East,2015-08-01,19.07,209
210 Melbourne - North West,2015-08-01,29.07,210
211 Melbourne - Outer East,2015-08-01,29.80,211
212 Melbourne - South East,2015-08-01,29.74,212
213 Melbourne - West,2015-08-01,36.78,213
214 Mornington Peninsula,2015-08-01,32.53,214
201 Ballarat,2015-08-01,31.85,201
202 Bendigo,2015-08-01,33.57,202
203 Geelong,2015-08-01,32.29,203
204 Hume,2015-08-01,30.66,204
205 Latrobe - Gippsland,2015-08-01,37.86,205
215 Victoria - North West,2015-08-01,34.97,215
216 Shepparton,2015-08-01,35.91,216
217 Warrnambool and South West,2015-08-01,37.20,217
301 Brisbane - East,2015-08-01,42.19,301
302 Brisbane - North,2015-08-01,34.02,302
303 Brisbane - South,2015-08-01,24.60,303
304 Brisbane - West,2015-08-01,24.01,304
305 Brisbane Inner City,2015-08-01,17.50,305
310 Ipswich,2015-08-01,17.82,310
311 Logan - Beaudesert,2015-08-01,38.52,311
313 Moreton Bay - North,2015-08-01,42.29,313
314 Moreton Bay - South,2015-08-01,38.77,314
306 Cairns,2015-08-01,30.51,306
307 Darling Downs - Maranoa,2015-08-01,35.50,307
308 Fitzroy,2015-08-01,45.89,308
309 Gold Coast,2015-08-01,41.33,309
312 Mackay,2015-08-01,30.48,312
315 Queensland - Outback,2015-08-01,49.69,315
316 Sunshine Coast,2015-08-01,33.45,316
317 Toowoomba,2015-08-01,32.48,317
318 Townsville,2015-08-01,40.94,318
319 Wide Bay,2015-08-01,37.71,319
401 Adelaide - Central and Hills,2015-08-01,33.79,401
402 Adelaide - North,2015-08-01,21.30,402
403 Adelaide - South,2015-08-01,37.02,403
404 Adelaide - West,2015-08-01,27.96,404
405 Barossa - Yorke - Mid North,2015-08-01,30.17,405
406 South Australia - Outback,2015-08-01,34.01,406
407 South Australia - South East,2015-08-01,39.66,407
502 Mandurah,2015-08-01,35.79,502
503 Perth - Inner,2015-08-01,44.64,503
504 Perth - North East,2015-08-01,17.35,504
505 Perth - North West,2015-08-01,37.00,505
506 Perth - South East,2015-08-01,32.16,506
507 Perth - South West,2015-08-01,35.23,507
501 Bunbury,2015-08-01,35.96,501
508 Western Australia - Outback,2015-08-01,42.39,508
509 Western Australia - Wheat Belt,2015-08-01,52.19,509
601 Hobart,2015-08-01,41.06,601
602 Launceston and North East,2015-08-01,29.11,602
603 Tasmania - South East,2015-08-01,36.42,603
604 Tasmania - West and North West,2015-08-01,41.90,604
701 Darwin,2015-08-01,38.92,701
702 Northern Territory - Outback,2015-08-01,33.45,702
801 Australian Capital Territory,2015-08-01,32.41,801
102 Central Coast,2016-08-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2016-08-01,29.95,115
116 Sydney - Blacktown,2016-08-01,19.10,116
117 Sydney - City and Inner South,2016-08-01,32.48,117
118 Sydney - Eastern Suburbs,2016-08-01,14.11,118
119 Sydney - Inner South West,2016-08-01,13.63,119
120 Sydney - Inner West,2016-08-01,29.54,120
121 Sydney - North Sydney and Hornsby,2016-08-01,17.69,121
122 Sydney - Northern Beaches,2016-08-01,11.20,122
123 Sydney - Outer South West,2016-08-01,18.64,123
124 Sydney - Outer West and Blue Mountains,2016-08-01,32.35,124
125 Sydney - Parramatta,2016-08-01,33.38,125
126 Sydney - Ryde,2016-08-01,30.20,126
127 Sydney - South West,2016-08-01,14.73,127
128 Sydney - Sutherland,2016-08-01,38.92,128
101 Capital Region,2016-08-01,21.49,101
103 New South Wales - Central West,2016-08-01,31.51,103
104 Coffs Harbour - Grafton,2016-08-01,36.42,104
105 Far West and Orana,2016-08-01,40.05,105
106 Hunter Valley exc Newcastle,2016-08-01,34.20,106
107 Illawarra,2016-08-01,42.49,107
108 Mid North Coast,2016-08-01,27.06,108
109 Murray,2016-08-01,27.90,109
110 New England and North West,2016-08-01,39.80,110
111 Newcastle and Lake Macquarie,2016-08-01,41.46,111
112 Richmond - Tweed,2016-08-01,31.07,112
113 Riverina,2016-08-01,31.25,113
114 Southern Highlands and Shoalhaven,2016-08-01,31.55,114
206 Melbourne - Inner,2016-08-01,39.15,206
207 Melbourne - Inner East,2016-08-01,13.80,207
208 Melbourne - Inner South,2016-08-01,15.63,208
209 Melbourne - North East,2016-08-01,16.30,209
210 Melbourne - North West,2016-08-01,31.05,210
211 Melbourne - Outer East,2016-08-01,38.22,211
212 Melbourne - South East,2016-08-01,30.30,212
213 Melbourne - West,2016-08-01,37.96,213
214 Mornington Peninsula,2016-08-01,33.78,214
201 Ballarat,2016-08-01,31.65,201
202 Bendigo,2016-08-01,33.65,202
203 Geelong,2016-08-01,41.32,203
204 Hume,2016-08-01,33.46,204
205 Latrobe - Gippsland,2016-08-01,34.45,205
215 Victoria - North West,2016-08-01,40.31,215
216 Shepparton,2016-08-01,37.53,216
217 Warrnambool and South West,2016-08-01,34.35,217
301 Brisbane - East,2016-08-01,31.24,301
302 Brisbane - North,2016-08-01,35.54,302
303 Brisbane - South,2016-08-01,24.04,303
304 Brisbane - West,2016-08-01,24.60,304
305 Brisbane Inner City,2016-08-01,17.37,305
310 Ipswich,2016-08-01,17.68,310
311 Logan - Beaudesert,2016-08-01,38.62,311
313 Moreton Bay - North,2016-08-01,40.14,313
314 Moreton Bay - South,2016-08-01,38.68,314
306 Cairns,2016-08-01,28.32,306
307 Darling Downs - Maranoa,2016-08-01,35.48,307
308 Fitzroy,2016-08-01,42.83,308
309 Gold Coast,2016-08-01,39.84,309
312 Mackay,2016-08-01,31.59,312
315 Queensland - Outback,2016-08-01,46.94,315
316 Sunshine Coast,2016-08-01,46.99,316
317 Toowoomba,2016-08-01,32.45,317
318 Townsville,2016-08-01,31.71,318
319 Wide Bay,2016-08-01,34.72,319
401 Adelaide - Central and Hills,2016-08-01,37.07,401
402 Adelaide - North,2016-08-01,19.38,402
403 Adelaide - South,2016-08-01,37.06,403
404 Adelaide - West,2016-08-01,28.92,404
405 Barossa - Yorke - Mid North,2016-08-01,29.36,405
406 South Australia - Outback,2016-08-01,37.72,406
407 South Australia - South East,2016-08-01,44.04,407
502 Mandurah,2016-08-01,38.58,502
503 Perth - Inner,2016-08-01,46.61,503
504 Perth - North East,2016-08-01,15.81,504
505 Perth - North West,2016-08-01,36.23,505
506 Perth - South East,2016-08-01,29.40,506
507 Perth - South West,2016-08-01,36.62,507
501 Bunbury,2016-08-01,32.76,501
508 Western Australia - Outback,2016-08-01,38.44,508
509 Western Australia - Wheat Belt,2016-08-01,52.25,509
601 Hobart,2016-08-01,38.83,601
602 Launceston and North East,2016-08-01,29.99,602
603 Tasmania - South East,2016-08-01,34.20,603
604 Tasmania - West and North West,2016-08-01,40.54,604
701 Darwin,2016-08-01,41.42,701
702 Northern Territory - Outback,2016-08-01,34.33,702
801 Australian Capital Territory,2016-08-01,29.15,801
102 Central Coast,2000-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2000-02-01,37.38,115
116 Sydney - Blacktown,2000-02-01,22.04,116
117 Sydney - City and Inner South,2000-02-01,42.70,117
118 Sydney - Eastern Suburbs,2000-02-01,25.94,118
119 Sydney - Inner South West,2000-02-01,20.18,119
120 Sydney - Inner West,2000-02-01,38.21,120
121 Sydney - North Sydney and Hornsby,2000-02-01,23.47,121
122 Sydney - Northern Beaches,2000-02-01,14.39,122
123 Sydney - Outer South West,2000-02-01,21.99,123
124 Sydney - Outer West and Blue Mountains,2000-02-01,42.57,124
125 Sydney - Parramatta,2000-02-01,36.02,125
126 Sydney - Ryde,2000-02-01,35.21,126
127 Sydney - South West,2000-02-01,22.43,127
128 Sydney - Sutherland,2000-02-01,51.27,128
101 Capital Region,2000-02-01,28.75,101
103 New South Wales - Central West,2000-02-01,33.24,103
104 Coffs Harbour - Grafton,2000-02-01,38.76,104
105 Far West and Orana,2000-02-01,35.87,105
106 Hunter Valley exc Newcastle,2000-02-01,33.14,106
107 Illawarra,2000-02-01,49.04,107
108 Mid North Coast,2000-02-01,38.53,108
109 Murray,2000-02-01,41.23,109
110 New England and North West,2000-02-01,45.17,110
111 Newcastle and Lake Macquarie,2000-02-01,33.14,111
112 Richmond - Tweed,2000-02-01,36.05,112
113 Riverina,2000-02-01,39.00,113
114 Southern Highlands and Shoalhaven,2000-02-01,39.70,114
206 Melbourne - Inner,2000-02-01,38.24,206
207 Melbourne - Inner East,2000-02-01,19.93,207
208 Melbourne - Inner South,2000-02-01,20.36,208
209 Melbourne - North East,2000-02-01,22.06,209
210 Melbourne - North West,2000-02-01,36.21,210
211 Melbourne - Outer East,2000-02-01,38.65,211
212 Melbourne - South East,2000-02-01,36.41,212
213 Melbourne - West,2000-02-01,43.32,213
214 Mornington Peninsula,2000-02-01,42.22,214
201 Ballarat,2000-02-01,42.12,201
202 Bendigo,2000-02-01,42.00,202
203 Geelong,2000-02-01,35.77,203
204 Hume,2000-02-01,42.15,204
205 Latrobe - Gippsland,2000-02-01,37.18,205
215 Victoria - North West,2000-02-01,37.05,215
216 Shepparton,2000-02-01,37.28,216
217 Warrnambool and South West,2000-02-01,40.39,217
301 Brisbane - East,2000-02-01,39.80,301
302 Brisbane - North,2000-02-01,35.19,302
303 Brisbane - South,2000-02-01,35.56,303
304 Brisbane - West,2000-02-01,32.55,304
305 Brisbane Inner City,2000-02-01,18.86,305
310 Ipswich,2000-02-01,20.77,310
311 Logan - Beaudesert,2000-02-01,43.56,311
313 Moreton Bay - North,2000-02-01,48.56,313
314 Moreton Bay - South,2000-02-01,41.19,314
306 Cairns,2000-02-01,34.64,306
307 Darling Downs - Maranoa,2000-02-01,39.69,307
308 Fitzroy,2000-02-01,37.76,308
309 Gold Coast,2000-02-01,43.26,309
312 Mackay,2000-02-01,35.99,312
315 Queensland - Outback,2000-02-01,44.40,315
316 Sunshine Coast,2000-02-01,43.56,316
317 Toowoomba,2000-02-01,39.71,317
318 Townsville,2000-02-01,38.85,318
319 Wide Bay,2000-02-01,38.26,319
401 Adelaide - Central and Hills,2000-02-01,43.72,401
402 Adelaide - North,2000-02-01,24.89,402
403 Adelaide - South,2000-02-01,43.91,403
404 Adelaide - West,2000-02-01,35.83,404
405 Barossa - Yorke - Mid North,2000-02-01,37.95,405
406 South Australia - Outback,2000-02-01,38.05,406
407 South Australia - South East,2000-02-01,44.82,407
502 Mandurah,2000-02-01,43.18,502
503 Perth - Inner,2000-02-01,45.18,503
504 Perth - North East,2000-02-01,18.57,504
505 Perth - North West,2000-02-01,39.87,505
506 Perth - South East,2000-02-01,33.92,506
507 Perth - South West,2000-02-01,38.45,507
501 Bunbury,2000-02-01,35.09,501
508 Western Australia - Outback,2000-02-01,44.47,508
509 Western Australia - Wheat Belt,2000-02-01,44.27,509
601 Hobart,2000-02-01,38.04,601
602 Launceston and North East,2000-02-01,32.10,602
603 Tasmania - South East,2000-02-01,40.23,603
604 Tasmania - West and North West,2000-02-01,43.73,604
701 Darwin,2000-02-01,44.10,701
702 Northern Territory - Outback,2000-02-01,31.25,702
801 Australian Capital Territory,2000-02-01,40.38,801
102 Central Coast,2001-02-01,100.00,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-02-01,35.10,115
116 Sydney - Blacktown,2001-02-01,22.32,116
117 Sydney - City and Inner South,2001-02-01,41.33,117
118 Sydney - Eastern Suburbs,2001-02-01,24.52,118
119 Sydney - Inner South West,2001-02-01,15.99,119
120 Sydney - Inner West,2001-02-01,36.68,120
121 Sydney - North Sydney and Hornsby,2001-02-01,22.49,121
122 Sydney - Northern Beaches,2001-02-01,14.65,122
123 Sydney - Outer South West,2001-02-01,22.58,123
124 Sydney - Outer West and Blue Mountains,2001-02-01,38.47,124
125 Sydney - Parramatta,2001-02-01,39.40,125
126 Sydney - Ryde,2001-02-01,35.91,126
127 Sydney - South West,2001-02-01,23.27,127
128 Sydney - Sutherland,2001-02-01,47.91,128
101 Capital Region,2001-02-01,25.80,101
103 New South Wales - Central West,2001-02-01,36.91,103
104 Coffs Harbour - Grafton,2001-02-01,41.51,104
105 Far West and Orana,2001-02-01,33.16,105
106 Hunter Valley exc Newcastle,2001-02-01,32.65,106
107 Illawarra,2001-02-01,41.26,107
108 Mid North Coast,2001-02-01,41.34,108
109 Murray,2001-02-01,36.03,109
110 New England and North West,2001-02-01,46.50,110
111 Newcastle and Lake Macquarie,2001-02-01,34.91,111
112 Richmond - Tweed,2001-02-01,35.26,112
113 Riverina,2001-02-01,31.06,113
114 Southern Highlands and Shoalhaven,2001-02-01,37.00,114
206 Melbourne - Inner,2001-02-01,40.98,206
207 Melbourne - Inner East,2001-02-01,19.35,207
208 Melbourne - Inner South,2001-02-01,20.52,208
209 Melbourne - North East,2001-02-01,20.40,209
210 Melbourne - North West,2001-02-01,37.13,210
211 Melbourne - Outer East,2001-02-01,36.77,211
212 Melbourne - South East,2001-02-01,33.99,212
213 Melbourne - West,2001-02-01,42.76,213
214 Mornington Peninsula,2001-02-01,44.31,214
201 Ballarat,2001-02-01,39.31,201
202 Bendigo,2001-02-01,32.92,202
203 Geelong,2001-02-01,37.05,203
204 Hume,2001-02-01,40.25,204
205 Latrobe - Gippsland,2001-02-01,36.42,205
215 Victoria - North West,2001-02-01,39.09,215
216 Shepparton,2001-02-01,36.00,216
217 Warrnambool and South West,2001-02-01,43.43,217
301 Brisbane - East,2001-02-01,38.89,301
302 Brisbane - North,2001-02-01,34.58,302
303 Brisbane - South,2001-02-01,31.61,303
304 Brisbane - West,2001-02-01,29.05,304
305 Brisbane Inner City,2001-02-01,20.52,305
310 Ipswich,2001-02-01,22.28,310
311 Logan - Beaudesert,2001-02-01,47.98,311
313 Moreton Bay - North,2001-02-01,47.99,313
314 Moreton Bay - South,2001-02-01,39.70,314
306 Cairns,2001-02-01,31.70,306
307 Darling Downs - Maranoa,2001-02-01,36.80,307
308 Fitzroy,2001-02-01,35.72,308
309 Gold Coast,2001-02-01,40.83,309
312 Mackay,2001-02-01,35.01,312
315 Queensland - Outback,2001-02-01,40.85,315
316 Sunshine Coast,2001-02-01,46.42,316
317 Toowoomba,2001-02-01,37.79,317
318 Townsville,2001-02-01,36.58,318
319 Wide Bay,2001-02-01,34.66,319
401 Adelaide - Central and Hills,2001-02-01,40.23,401
402 Adelaide - North,2001-02-01,24.70,402
403 Adelaide - South,2001-02-01,41.92,403
404 Adelaide - West,2001-02-01,35.70,404
405 Barossa - Yorke - Mid North,2001-02-01,35.57,405
406 South Australia - Outback,2001-02-01,41.24,406
407 South Australia - South East,2001-02-01,43.61,407
502 Mandurah,2001-02-01,45.29,502
503 Perth - Inner,2001-02-01,46.66,503
504 Perth - North East,2001-02-01,18.69,504
505 Perth - North West,2001-02-01,34.98,505
506 Perth - South East,2001-02-01,32.34,506
507 Perth - South West,2001-02-01,35.18,507
501 Bunbury,2001-02-01,35.26,501
508 Western Australia - Outback,2001-02-01,47.51,508
509 Western Australia - Wheat Belt,2001-02-01,44.07,509
601 Hobart,2001-02-01,40.51,601
602 Launceston and North East,2001-02-01,31.41,602
603 Tasmania - South East,2001-02-01,39.36,603
