Labour market region (SA4): ASGS (2011),date,percent total workers,sa4_code_2011
103 New South Wales - Central West,2004-08-01,0.1959,103
104 Coffs Harbour - Grafton,2004-08-01,0.2952,104
105 Far West and Orana,2004-08-01,0.2104,105
106 Hunter Valley exc Newcastle,2004-08-01,0.2504,106
107 Illawarra,2004-08-01,0.2359,107
108 Mid North Coast,2004-08-01,0.2311,108
109 Murray,2004-08-01,0.2203,109
110 New England and North West,2004-08-01,0.2248,110
111 Newcastle and Lake Macquarie,2004-08-01,0.2683,111
112 Richmond - Tweed,2004-08-01,0.2258,112
113 Riverina,2004-08-01,0.1848,113
114 Southern Highlands and Shoalhaven,2004-08-01,0.2592,114
206 Melbourne - Inner,2004-08-01,0.2232,206
207 Melbourne - Inner East,2004-08-01,0.272,207
208 Melbourne - Inner South,2004-08-01,0.251,208
209 Melbourne - North East,2004-08-01,0.2872,209
210 Melbourne - North West,2004-08-01,0.2807,210
211 Melbourne - Outer East,2004-08-01,0.2721,211
212 Melbourne - South East,2004-08-01,0.2773,212
213 Melbourne - West,2004-08-01,0.2825,213
214 Mornington Peninsula,2004-08-01,0.289,214
201 Ballarat,2004-08-01,0.1983,201
202 Bendigo,2004-08-01,0.2779,202
203 Geelong,2004-08-01,0.2114,203
204 Hume,2004-08-01,0.1869,204
205 Latrobe - Gippsland,2004-08-01,0.2404,205
215 Victoria - North West,2004-08-01,0.1925,215
216 Shepparton,2004-08-01,0.2363,216
217 Warrnambool and South West,2004-08-01,0.21,217
301 Brisbane - East,2004-08-01,0.3107,301
302 Brisbane - North,2004-08-01,0.3314,302
303 Brisbane - South,2004-08-01,0.294,303
304 Brisbane - West,2004-08-01,0.2771,304
305 Brisbane Inner City,2004-08-01,0.2704,305
310 Ipswich,2004-08-01,0.2662,310
311 Logan - Beaudesert,2004-08-01,0.2788,311
313 Moreton Bay - North,2004-08-01,0.2582,313
314 Moreton Bay - South,2004-08-01,0.2995,314
306 Cairns,2004-08-01,0.2588,306
307 Darling Downs - Maranoa,2004-08-01,0.1527,307
308 Fitzroy,2004-08-01,0.2474,308
309 Gold Coast,2004-08-01,0.3065,309
312 Mackay,2004-08-01,0.2328,312
315 Queensland - Outback,2004-08-01,0.1578,315
316 Sunshine Coast,2004-08-01,0.2882,316
317 Toowoomba,2004-08-01,0.2949,317
318 Townsville,2004-08-01,0.2785,318
319 Wide Bay,2004-08-01,0.2304,319
401 Adelaide - Central and Hills,2004-08-01,0.262,401
402 Adelaide - North,2004-08-01,0.2707,402
403 Adelaide - South,2004-08-01,0.2716,403
404 Adelaide - West,2004-08-01,0.3096,404
405 Barossa - Yorke - Mid North,2004-08-01,0.199,405
406 South Australia - Outback,2004-08-01,0.2011,406
407 South Australia - South East,2004-08-01,0.1644,407
502 Mandurah,2004-08-01,0.2068,502
503 Perth - Inner,2004-08-01,0.2494,503
504 Perth - North East,2004-08-01,0.289,504
505 Perth - North West,2004-08-01,0.2807,505
506 Perth - South East,2004-08-01,0.2676,506
507 Perth - South West,2004-08-01,0.2791,507
501 Bunbury,2004-08-01,0.1861,501
508 Western Australia - Outback,2004-08-01,0.2065,508
509 Western Australia - Wheat Belt,2004-08-01,0.1697,509
601 Hobart,2004-08-01,0.2675,601
602 Launceston and North East,2004-08-01,0.2523,602
603 Tasmania - South East,2004-08-01,0.1694,603
604 Tasmania - West and North West,2004-08-01,0.2145,604
701 Darwin,2004-08-01,0.2629,701
702 Northern Territory - Outback,2004-08-01,0.2017,702
801 Australian Capital Territory,2004-08-01,0.2723,801
102 Central Coast,2005-08-01,0.2835,102
