Labour market region (SA4): ASGS (2011),date,percent parttime,sa4_code_2011
302 Brisbane - North,2000-02-01,0.3245,302
303 Brisbane - South,2000-02-01,0.3076,303
304 Brisbane - West,2000-02-01,0.3188,304
305 Brisbane Inner City,2000-02-01,0.2823,305
310 Ipswich,2000-02-01,0.2809,310
311 Logan - Beaudesert,2000-02-01,0.2772,311
313 Moreton Bay - North,2000-02-01,0.2906,313
314 Moreton Bay - South,2000-02-01,0.324,314
306 Cairns,2000-02-01,0.3009,306
307 Darling Downs - Maranoa,2000-02-01,0.2543,307
308 Fitzroy,2000-02-01,0.2227,308
309 Gold Coast,2000-02-01,0.2133,309
312 Mackay,2000-02-01,0.3247,312
315 Queensland - Outback,2000-02-01,0.248,315
316 Sunshine Coast,2000-02-01,0.1542,316
317 Toowoomba,2000-02-01,0.2664,317
318 Townsville,2000-02-01,0.2598,318
319 Wide Bay,2000-02-01,0.2424,319
401 Adelaide - Central and Hills,2000-02-01,0.2071,401
402 Adelaide - North,2000-02-01,0.2591,402
403 Adelaide - South,2000-02-01,0.2846,403
404 Adelaide - West,2000-02-01,0.2784,404
405 Barossa - Yorke - Mid North,2000-02-01,0.2696,405
406 South Australia - Outback,2000-02-01,0.1698,406
407 South Australia - South East,2000-02-01,0.1972,407
502 Mandurah,2000-02-01,0.1769,502
503 Perth - Inner,2000-02-01,0.2592,503
504 Perth - North East,2000-02-01,0.2512,504
505 Perth - North West,2000-02-01,0.283,505
506 Perth - South East,2000-02-01,0.3219,506
507 Perth - South West,2000-02-01,0.2924,507
501 Bunbury,2000-02-01,0.2808,501
508 Western Australia - Outback,2000-02-01,0.234,508
509 Western Australia - Wheat Belt,2000-02-01,0.2149,509
601 Hobart,2000-02-01,0.175,601
602 Launceston and North East,2000-02-01,0.2976,602
603 Tasmania - South East,2000-02-01,0.2357,603
604 Tasmania - West and North West,2000-02-01,0.2014,604
701 Darwin,2000-02-01,0.22,701
702 Northern Territory - Outback,2000-02-01,0.2792,702
801 Australian Capital Territory,2000-02-01,0.2221,801
102 Central Coast,2001-02-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2001-02-01,0.2883,115
116 Sydney - Blacktown,2001-02-01,0.3084,116
117 Sydney - City and Inner South,2001-02-01,0.3155,117
118 Sydney - Eastern Suburbs,2001-02-01,0.2626,118
119 Sydney - Inner South West,2001-02-01,0.2789,119
120 Sydney - Inner West,2001-02-01,0.2971,120
121 Sydney - North Sydney and Hornsby,2001-02-01,0.2967,121
122 Sydney - Northern Beaches,2001-02-01,0.2585,122
123 Sydney - Outer South West,2001-02-01,0.3026,123
124 Sydney - Outer West and Blue Mountains,2001-02-01,0.3309,124
125 Sydney - Parramatta,2001-02-01,0.2924,125
126 Sydney - Ryde,2001-02-01,0.3188,126
127 Sydney - South West,2001-02-01,0.2818,127
128 Sydney - Sutherland,2001-02-01,0.2848,128
101 Capital Region,2001-02-01,0.3303,101
103 New South Wales - Central West,2001-02-01,0.2343,103
104 Coffs Harbour - Grafton,2001-02-01,0.2453,104
105 Far West and Orana,2001-02-01,0.2921,105
106 Hunter Valley exc Newcastle,2001-02-01,0.1413,106
107 Illawarra,2001-02-01,0.2741,107
108 Mid North Coast,2001-02-01,0.2675,108
109 Murray,2001-02-01,0.2882,109
110 New England and North West,2001-02-01,0.2084,110
111 Newcastle and Lake Macquarie,2001-02-01,0.2119,111
112 Richmond - Tweed,2001-02-01,0.2842,112
113 Riverina,2001-02-01,0.2607,113
114 Southern Highlands and Shoalhaven,2001-02-01,0.2384,114
206 Melbourne - Inner,2001-02-01,0.2447,206
207 Melbourne - Inner East,2001-02-01,0.2386,207
208 Melbourne - Inner South,2001-02-01,0.2742,208
209 Melbourne - North East,2001-02-01,0.2784,209
210 Melbourne - North West,2001-02-01,0.2648,210
211 Melbourne - Outer East,2001-02-01,0.2956,211
212 Melbourne - South East,2001-02-01,0.2958,212
213 Melbourne - West,2001-02-01,0.2771,213
214 Mornington Peninsula,2001-02-01,0.2544,214
201 Ballarat,2001-02-01,0.2765,201
202 Bendigo,2001-02-01,0.2453,202
203 Geelong,2001-02-01,0.2353,203
204 Hume,2001-02-01,0.2618,204
205 Latrobe - Gippsland,2001-02-01,0.2566,205
215 Victoria - North West,2001-02-01,0.1964,215
216 Shepparton,2001-02-01,0.1935,216
217 Warrnambool and South West,2001-02-01,0.1874,217
301 Brisbane - East,2001-02-01,0.1788,301
302 Brisbane - North,2001-02-01,0.3277,302
303 Brisbane - South,2001-02-01,0.3362,303
304 Brisbane - West,2001-02-01,0.3315,304
305 Brisbane Inner City,2001-02-01,0.2838,305
310 Ipswich,2001-02-01,0.2782,310
311 Logan - Beaudesert,2001-02-01,0.2531,311
313 Moreton Bay - North,2001-02-01,0.2752,313
314 Moreton Bay - South,2001-02-01,0.3302,314
306 Cairns,2001-02-01,0.3181,306
307 Darling Downs - Maranoa,2001-02-01,0.2487,307
308 Fitzroy,2001-02-01,0.2031,308
309 Gold Coast,2001-02-01,0.2488,309
312 Mackay,2001-02-01,0.3165,312
315 Queensland - Outback,2001-02-01,0.2491,315
316 Sunshine Coast,2001-02-01,0.1921,316
317 Toowoomba,2001-02-01,0.2657,317
318 Townsville,2001-02-01,0.2766,318
319 Wide Bay,2001-02-01,0.2489,319
401 Adelaide - Central and Hills,2001-02-01,0.2016,401
402 Adelaide - North,2001-02-01,0.2751,402
403 Adelaide - South,2001-02-01,0.2907,403
404 Adelaide - West,2001-02-01,0.2674,404
405 Barossa - Yorke - Mid North,2001-02-01,0.2831,405
406 South Australia - Outback,2001-02-01,0.1693,406
407 South Australia - South East,2001-02-01,0.1868,407
502 Mandurah,2001-02-01,0.1798,502
503 Perth - Inner,2001-02-01,0.2084,503
504 Perth - North East,2001-02-01,0.241,504
505 Perth - North West,2001-02-01,0.3083,505
506 Perth - South East,2001-02-01,0.3201,506
507 Perth - South West,2001-02-01,0.3101,507
501 Bunbury,2001-02-01,0.271,501
508 Western Australia - Outback,2001-02-01,0.2368,508
509 Western Australia - Wheat Belt,2001-02-01,0.2284,509
601 Hobart,2001-02-01,0.1817,601
602 Launceston and North East,2001-02-01,0.3031,602
603 Tasmania - South East,2001-02-01,0.2345,603
604 Tasmania - West and North West,2001-02-01,0.2178,604
701 Darwin,2001-02-01,0.2386,701
702 Northern Territory - Outback,2001-02-01,0.2928,702
801 Australian Capital Territory,2001-02-01,0.1635,801
102 Central Coast,2002-02-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2002-02-01,0.2726,115
116 Sydney - Blacktown,2002-02-01,0.2743,116
117 Sydney - City and Inner South,2002-02-01,0.3068,117
118 Sydney - Eastern Suburbs,2002-02-01,0.2775,118
119 Sydney - Inner South West,2002-02-01,0.2502,119
120 Sydney - Inner West,2002-02-01,0.2894,120
121 Sydney - North Sydney and Hornsby,2002-02-01,0.2552,121
122 Sydney - Northern Beaches,2002-02-01,0.2627,122
123 Sydney - Outer South West,2002-02-01,0.3026,123
124 Sydney - Outer West and Blue Mountains,2002-02-01,0.2875,124
125 Sydney - Parramatta,2002-02-01,0.292,125
126 Sydney - Ryde,2002-02-01,0.3081,126
127 Sydney - South West,2002-02-01,0.3129,127
128 Sydney - Sutherland,2002-02-01,0.3056,128
101 Capital Region,2002-02-01,0.3098,101
103 New South Wales - Central West,2002-02-01,0.234,103
104 Coffs Harbour - Grafton,2002-02-01,0.2314,104
105 Far West and Orana,2002-02-01,0.2547,105
106 Hunter Valley exc Newcastle,2002-02-01,0.1517,106
107 Illawarra,2002-02-01,0.2462,107
108 Mid North Coast,2002-02-01,0.2511,108
109 Murray,2002-02-01,0.2601,109
110 New England and North West,2002-02-01,0.2651,110
111 Newcastle and Lake Macquarie,2002-02-01,0.1973,111
112 Richmond - Tweed,2002-02-01,0.2807,112
113 Riverina,2002-02-01,0.2662,113
114 Southern Highlands and Shoalhaven,2002-02-01,0.2226,114
206 Melbourne - Inner,2002-02-01,0.2539,206
207 Melbourne - Inner East,2002-02-01,0.2373,207
208 Melbourne - Inner South,2002-02-01,0.2439,208
209 Melbourne - North East,2002-02-01,0.2801,209
210 Melbourne - North West,2002-02-01,0.2746,210
211 Melbourne - Outer East,2002-02-01,0.2934,211
212 Melbourne - South East,2002-02-01,0.2974,212
213 Melbourne - West,2002-02-01,0.2783,213
214 Mornington Peninsula,2002-02-01,0.2812,214
201 Ballarat,2002-02-01,0.25,201
202 Bendigo,2002-02-01,0.2066,202
203 Geelong,2002-02-01,0.255,203
204 Hume,2002-02-01,0.2522,204
205 Latrobe - Gippsland,2002-02-01,0.1954,205
215 Victoria - North West,2002-02-01,0.2312,215
216 Shepparton,2002-02-01,0.2103,216
217 Warrnambool and South West,2002-02-01,0.231,217
301 Brisbane - East,2002-02-01,0.1702,301
302 Brisbane - North,2002-02-01,0.3161,302
303 Brisbane - South,2002-02-01,0.3331,303
304 Brisbane - West,2002-02-01,0.3255,304
305 Brisbane Inner City,2002-02-01,0.3013,305
310 Ipswich,2002-02-01,0.2568,310
311 Logan - Beaudesert,2002-02-01,0.2318,311
313 Moreton Bay - North,2002-02-01,0.2811,313
314 Moreton Bay - South,2002-02-01,0.2947,314
306 Cairns,2002-02-01,0.3253,306
307 Darling Downs - Maranoa,2002-02-01,0.2214,307
308 Fitzroy,2002-02-01,0.1715,308
309 Gold Coast,2002-02-01,0.2015,309
312 Mackay,2002-02-01,0.3036,312
315 Queensland - Outback,2002-02-01,0.2128,315
316 Sunshine Coast,2002-02-01,0.1842,316
317 Toowoomba,2002-02-01,0.2682,317
318 Townsville,2002-02-01,0.2678,318
319 Wide Bay,2002-02-01,0.2644,319
401 Adelaide - Central and Hills,2002-02-01,0.2404,401
402 Adelaide - North,2002-02-01,0.2512,402
403 Adelaide - South,2002-02-01,0.2637,403
404 Adelaide - West,2002-02-01,0.2592,404
405 Barossa - Yorke - Mid North,2002-02-01,0.29,405
406 South Australia - Outback,2002-02-01,0.1821,406
407 South Australia - South East,2002-02-01,0.1976,407
502 Mandurah,2002-02-01,0.1951,502
503 Perth - Inner,2002-02-01,0.2463,503
504 Perth - North East,2002-02-01,0.2272,504
505 Perth - North West,2002-02-01,0.2937,505
506 Perth - South East,2002-02-01,0.2979,506
507 Perth - South West,2002-02-01,0.3014,507
501 Bunbury,2002-02-01,0.2755,501
508 Western Australia - Outback,2002-02-01,0.2559,508
509 Western Australia - Wheat Belt,2002-02-01,0.2087,509
601 Hobart,2002-02-01,0.1741,601
602 Launceston and North East,2002-02-01,0.2951,602
603 Tasmania - South East,2002-02-01,0.2592,603
604 Tasmania - West and North West,2002-02-01,0.1948,604
701 Darwin,2002-02-01,0.2266,701
702 Northern Territory - Outback,2002-02-01,0.2911,702
801 Australian Capital Territory,2002-02-01,0.1552,801
102 Central Coast,2003-02-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2003-02-01,0.2849,115
116 Sydney - Blacktown,2003-02-01,0.2933,116
117 Sydney - City and Inner South,2003-02-01,0.3686,117
118 Sydney - Eastern Suburbs,2003-02-01,0.2563,118
119 Sydney - Inner South West,2003-02-01,0.229,119
120 Sydney - Inner West,2003-02-01,0.3091,120
121 Sydney - North Sydney and Hornsby,2003-02-01,0.2777,121
122 Sydney - Northern Beaches,2003-02-01,0.2696,122
123 Sydney - Outer South West,2003-02-01,0.2924,123
124 Sydney - Outer West and Blue Mountains,2003-02-01,0.3029,124
125 Sydney - Parramatta,2003-02-01,0.2965,125
126 Sydney - Ryde,2003-02-01,0.2967,126
127 Sydney - South West,2003-02-01,0.261,127
128 Sydney - Sutherland,2003-02-01,0.2644,128
101 Capital Region,2003-02-01,0.3071,101
103 New South Wales - Central West,2003-02-01,0.2232,103
104 Coffs Harbour - Grafton,2003-02-01,0.2247,104
105 Far West and Orana,2003-02-01,0.291,105
106 Hunter Valley exc Newcastle,2003-02-01,0.1795,106
107 Illawarra,2003-02-01,0.2457,107
108 Mid North Coast,2003-02-01,0.2549,108
109 Murray,2003-02-01,0.2426,109
110 New England and North West,2003-02-01,0.2907,110
111 Newcastle and Lake Macquarie,2003-02-01,0.2126,111
112 Richmond - Tweed,2003-02-01,0.2927,112
113 Riverina,2003-02-01,0.2558,113
114 Southern Highlands and Shoalhaven,2003-02-01,0.2137,114
206 Melbourne - Inner,2003-02-01,0.2365,206
207 Melbourne - Inner East,2003-02-01,0.2328,207
208 Melbourne - Inner South,2003-02-01,0.282,208
209 Melbourne - North East,2003-02-01,0.2644,209
210 Melbourne - North West,2003-02-01,0.27,210
211 Melbourne - Outer East,2003-02-01,0.3107,211
212 Melbourne - South East,2003-02-01,0.3056,212
213 Melbourne - West,2003-02-01,0.269,213
214 Mornington Peninsula,2003-02-01,0.284,214
201 Ballarat,2003-02-01,0.2456,201
202 Bendigo,2003-02-01,0.235,202
203 Geelong,2003-02-01,0.2696,203
204 Hume,2003-02-01,0.231,204
205 Latrobe - Gippsland,2003-02-01,0.2012,205
215 Victoria - North West,2003-02-01,0.2212,215
216 Shepparton,2003-02-01,0.2337,216
217 Warrnambool and South West,2003-02-01,0.2409,217
301 Brisbane - East,2003-02-01,0.1766,301
302 Brisbane - North,2003-02-01,0.3047,302
303 Brisbane - South,2003-02-01,0.309,303
304 Brisbane - West,2003-02-01,0.3064,304
305 Brisbane Inner City,2003-02-01,0.319,305
310 Ipswich,2003-02-01,0.2313,310
311 Logan - Beaudesert,2003-02-01,0.2528,311
313 Moreton Bay - North,2003-02-01,0.2719,313
314 Moreton Bay - South,2003-02-01,0.2739,314
306 Cairns,2003-02-01,0.3352,306
307 Darling Downs - Maranoa,2003-02-01,0.2627,307
308 Fitzroy,2003-02-01,0.1915,308
309 Gold Coast,2003-02-01,0.1977,309
312 Mackay,2003-02-01,0.3148,312
315 Queensland - Outback,2003-02-01,0.2426,315
316 Sunshine Coast,2003-02-01,0.1881,316
317 Toowoomba,2003-02-01,0.2615,317
318 Townsville,2003-02-01,0.2812,318
319 Wide Bay,2003-02-01,0.2214,319
401 Adelaide - Central and Hills,2003-02-01,0.2428,401
402 Adelaide - North,2003-02-01,0.2498,402
403 Adelaide - South,2003-02-01,0.2825,403
404 Adelaide - West,2003-02-01,0.2796,404
405 Barossa - Yorke - Mid North,2003-02-01,0.2667,405
406 South Australia - Outback,2003-02-01,0.1808,406
407 South Australia - South East,2003-02-01,0.1719,407
502 Mandurah,2003-02-01,0.1715,502
503 Perth - Inner,2003-02-01,0.2089,503
504 Perth - North East,2003-02-01,0.239,504
505 Perth - North West,2003-02-01,0.2861,505
506 Perth - South East,2003-02-01,0.2979,506
507 Perth - South West,2003-02-01,0.3064,507
501 Bunbury,2003-02-01,0.2663,501
508 Western Australia - Outback,2003-02-01,0.234,508
509 Western Australia - Wheat Belt,2003-02-01,0.2193,509
601 Hobart,2003-02-01,0.1823,601
602 Launceston and North East,2003-02-01,0.2894,602
603 Tasmania - South East,2003-02-01,0.2718,603
604 Tasmania - West and North West,2003-02-01,0.1874,604
701 Darwin,2003-02-01,0.2416,701
702 Northern Territory - Outback,2003-02-01,0.2776,702
801 Australian Capital Territory,2003-02-01,0.1792,801
102 Central Coast,2004-02-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2004-02-01,0.3148,115
116 Sydney - Blacktown,2004-02-01,0.2846,116
117 Sydney - City and Inner South,2004-02-01,0.2916,117
118 Sydney - Eastern Suburbs,2004-02-01,0.2782,118
119 Sydney - Inner South West,2004-02-01,0.2296,119
120 Sydney - Inner West,2004-02-01,0.2931,120
121 Sydney - North Sydney and Hornsby,2004-02-01,0.2733,121
122 Sydney - Northern Beaches,2004-02-01,0.243,122
123 Sydney - Outer South West,2004-02-01,0.2679,123
124 Sydney - Outer West and Blue Mountains,2004-02-01,0.287,124
125 Sydney - Parramatta,2004-02-01,0.2882,125
126 Sydney - Ryde,2004-02-01,0.2929,126
127 Sydney - South West,2004-02-01,0.2736,127
128 Sydney - Sutherland,2004-02-01,0.3139,128
101 Capital Region,2004-02-01,0.277,101
103 New South Wales - Central West,2004-02-01,0.2391,103
104 Coffs Harbour - Grafton,2004-02-01,0.2134,104
105 Far West and Orana,2004-02-01,0.2686,105
106 Hunter Valley exc Newcastle,2004-02-01,0.1913,106
107 Illawarra,2004-02-01,0.2493,107
108 Mid North Coast,2004-02-01,0.2302,108
109 Murray,2004-02-01,0.2297,109
110 New England and North West,2004-02-01,0.2489,110
111 Newcastle and Lake Macquarie,2004-02-01,0.2407,111
112 Richmond - Tweed,2004-02-01,0.2697,112
113 Riverina,2004-02-01,0.2364,113
114 Southern Highlands and Shoalhaven,2004-02-01,0.2271,114
206 Melbourne - Inner,2004-02-01,0.2549,206
207 Melbourne - Inner East,2004-02-01,0.2197,207
208 Melbourne - Inner South,2004-02-01,0.2723,208
209 Melbourne - North East,2004-02-01,0.2561,209
210 Melbourne - North West,2004-02-01,0.2971,210
211 Melbourne - Outer East,2004-02-01,0.2945,211
212 Melbourne - South East,2004-02-01,0.2969,212
213 Melbourne - West,2004-02-01,0.2776,213
214 Mornington Peninsula,2004-02-01,0.2834,214
201 Ballarat,2004-02-01,0.2774,201
202 Bendigo,2004-02-01,0.2247,202
203 Geelong,2004-02-01,0.2644,203
204 Hume,2004-02-01,0.2373,204
205 Latrobe - Gippsland,2004-02-01,0.2139,205
215 Victoria - North West,2004-02-01,0.272,215
216 Shepparton,2004-02-01,0.2168,216
217 Warrnambool and South West,2004-02-01,0.2493,217
301 Brisbane - East,2004-02-01,0.2101,301
302 Brisbane - North,2004-02-01,0.3017,302
303 Brisbane - South,2004-02-01,0.3436,303
304 Brisbane - West,2004-02-01,0.3112,304
305 Brisbane Inner City,2004-02-01,0.303,305
310 Ipswich,2004-02-01,0.2685,310
311 Logan - Beaudesert,2004-02-01,0.2478,311
313 Moreton Bay - North,2004-02-01,0.2617,313
314 Moreton Bay - South,2004-02-01,0.2817,314
306 Cairns,2004-02-01,0.3205,306
307 Darling Downs - Maranoa,2004-02-01,0.2357,307
308 Fitzroy,2004-02-01,0.1677,308
309 Gold Coast,2004-02-01,0.235,309
312 Mackay,2004-02-01,0.3161,312
315 Queensland - Outback,2004-02-01,0.2316,315
316 Sunshine Coast,2004-02-01,0.1533,316
317 Toowoomba,2004-02-01,0.2614,317
318 Townsville,2004-02-01,0.3224,318
319 Wide Bay,2004-02-01,0.283,319
401 Adelaide - Central and Hills,2004-02-01,0.2482,401
402 Adelaide - North,2004-02-01,0.2731,402
403 Adelaide - South,2004-02-01,0.2717,403
404 Adelaide - West,2004-02-01,0.2778,404
405 Barossa - Yorke - Mid North,2004-02-01,0.2791,405
406 South Australia - Outback,2004-02-01,0.1711,406
407 South Australia - South East,2004-02-01,0.2076,407
502 Mandurah,2004-02-01,0.1775,502
503 Perth - Inner,2004-02-01,0.2269,503
504 Perth - North East,2004-02-01,0.2281,504
505 Perth - North West,2004-02-01,0.2741,505
506 Perth - South East,2004-02-01,0.2844,506
507 Perth - South West,2004-02-01,0.2846,507
501 Bunbury,2004-02-01,0.2848,501
508 Western Australia - Outback,2004-02-01,0.1809,508
509 Western Australia - Wheat Belt,2004-02-01,0.2004,509
601 Hobart,2004-02-01,0.1798,601
602 Launceston and North East,2004-02-01,0.2805,602
603 Tasmania - South East,2004-02-01,0.2569,603
604 Tasmania - West and North West,2004-02-01,0.1811,604
701 Darwin,2004-02-01,0.2295,701
702 Northern Territory - Outback,2004-02-01,0.2563,702
801 Australian Capital Territory,2004-02-01,0.1844,801
102 Central Coast,2005-02-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2005-02-01,0.3018,115
116 Sydney - Blacktown,2005-02-01,0.299,116
117 Sydney - City and Inner South,2005-02-01,0.2809,117
118 Sydney - Eastern Suburbs,2005-02-01,0.2596,118
119 Sydney - Inner South West,2005-02-01,0.2103,119
120 Sydney - Inner West,2005-02-01,0.2845,120
121 Sydney - North Sydney and Hornsby,2005-02-01,0.2679,121
122 Sydney - Northern Beaches,2005-02-01,0.2532,122
123 Sydney - Outer South West,2005-02-01,0.2601,123
124 Sydney - Outer West and Blue Mountains,2005-02-01,0.286,124
125 Sydney - Parramatta,2005-02-01,0.2863,125
126 Sydney - Ryde,2005-02-01,0.2668,126
127 Sydney - South West,2005-02-01,0.2365,127
128 Sydney - Sutherland,2005-02-01,0.268,128
101 Capital Region,2005-02-01,0.3338,101
103 New South Wales - Central West,2005-02-01,0.2444,103
104 Coffs Harbour - Grafton,2005-02-01,0.2258,104
105 Far West and Orana,2005-02-01,0.322,105
106 Hunter Valley exc Newcastle,2005-02-01,0.2143,106
107 Illawarra,2005-02-01,0.2537,107
108 Mid North Coast,2005-02-01,0.2308,108
109 Murray,2005-02-01,0.2482,109
110 New England and North West,2005-02-01,0.2267,110
111 Newcastle and Lake Macquarie,2005-02-01,0.2276,111
112 Richmond - Tweed,2005-02-01,0.2477,112
113 Riverina,2005-02-01,0.2505,113
114 Southern Highlands and Shoalhaven,2005-02-01,0.1957,114
206 Melbourne - Inner,2005-02-01,0.2649,206
207 Melbourne - Inner East,2005-02-01,0.2253,207
208 Melbourne - Inner South,2005-02-01,0.2678,208
209 Melbourne - North East,2005-02-01,0.2513,209
210 Melbourne - North West,2005-02-01,0.2743,210
211 Melbourne - Outer East,2005-02-01,0.2857,211
212 Melbourne - South East,2005-02-01,0.275,212
213 Melbourne - West,2005-02-01,0.2628,213
214 Mornington Peninsula,2005-02-01,0.2725,214
201 Ballarat,2005-02-01,0.2816,201
202 Bendigo,2005-02-01,0.209,202
203 Geelong,2005-02-01,0.2577,203
204 Hume,2005-02-01,0.1965,204
205 Latrobe - Gippsland,2005-02-01,0.1779,205
215 Victoria - North West,2005-02-01,0.2107,215
216 Shepparton,2005-02-01,0.2264,216
217 Warrnambool and South West,2005-02-01,0.237,217
301 Brisbane - East,2005-02-01,0.1874,301
302 Brisbane - North,2005-02-01,0.3053,302
303 Brisbane - South,2005-02-01,0.3052,303
304 Brisbane - West,2005-02-01,0.2969,304
305 Brisbane Inner City,2005-02-01,0.2623,305
310 Ipswich,2005-02-01,0.2583,310
311 Logan - Beaudesert,2005-02-01,0.2672,311
313 Moreton Bay - North,2005-02-01,0.2919,313
314 Moreton Bay - South,2005-02-01,0.2709,314
306 Cairns,2005-02-01,0.2969,306
307 Darling Downs - Maranoa,2005-02-01,0.2721,307
308 Fitzroy,2005-02-01,0.1742,308
309 Gold Coast,2005-02-01,0.248,309
312 Mackay,2005-02-01,0.2861,312
315 Queensland - Outback,2005-02-01,0.2362,315
316 Sunshine Coast,2005-02-01,0.1997,316
317 Toowoomba,2005-02-01,0.28,317
318 Townsville,2005-02-01,0.2524,318
319 Wide Bay,2005-02-01,0.2709,319
401 Adelaide - Central and Hills,2005-02-01,0.2507,401
402 Adelaide - North,2005-02-01,0.2546,402
403 Adelaide - South,2005-02-01,0.2812,403
404 Adelaide - West,2005-02-01,0.2698,404
405 Barossa - Yorke - Mid North,2005-02-01,0.3153,405
406 South Australia - Outback,2005-02-01,0.2305,406
407 South Australia - South East,2005-02-01,0.2011,407
502 Mandurah,2005-02-01,0.1762,502
503 Perth - Inner,2005-02-01,0.2458,503
504 Perth - North East,2005-02-01,0.238,504
505 Perth - North West,2005-02-01,0.2745,505
506 Perth - South East,2005-02-01,0.2725,506
507 Perth - South West,2005-02-01,0.2755,507
501 Bunbury,2005-02-01,0.2703,501
508 Western Australia - Outback,2005-02-01,0.218,508
509 Western Australia - Wheat Belt,2005-02-01,0.1889,509
601 Hobart,2005-02-01,0.1726,601
602 Launceston and North East,2005-02-01,0.2606,602
603 Tasmania - South East,2005-02-01,0.2542,603
604 Tasmania - West and North West,2005-02-01,0.1549,604
701 Darwin,2005-02-01,0.1981,701
702 Northern Territory - Outback,2005-02-01,0.2596,702
801 Australian Capital Territory,2005-02-01,0.2087,801
102 Central Coast,2006-02-01,1,102
115 Sydney - Baulkham Hills and Hawkesbury,2006-02-01,0.2699,115
116 Sydney - Blacktown,2006-02-01,0.2827,116
117 Sydney - City and Inner South,2006-02-01,0.2874,117
118 Sydney - Eastern Suburbs,2006-02-01,0.2682,118
119 Sydney - Inner South West,2006-02-01,0.2246,119
120 Sydney - Inner West,2006-02-01,0.3082,120
121 Sydney - North Sydney and Hornsby,2006-02-01,0.2577,121
122 Sydney - Northern Beaches,2006-02-01,0.2896,122
123 Sydney - Outer South West,2006-02-01,0.2445,123
124 Sydney - Outer West and Blue Mountains,2006-02-01,0.2944,124
125 Sydney - Parramatta,2006-02-01,0.2662,125
126 Sydney - Ryde,2006-02-01,0.2775,126
127 Sydney - South West,2006-02-01,0.2775,127
128 Sydney - Sutherland,2006-02-01,0.2758,128
101 Capital Region,2006-02-01,0.2863,101
103 New South Wales - Central West,2006-02-01,0.2583,103
104 Coffs Harbour - Grafton,2006-02-01,0.2372,104
105 Far West and Orana,2006-02-01,0.304,105
106 Hunter Valley exc Newcastle,2006-02-01,0.2227,106
107 Illawarra,2006-02-01,0.2689,107
108 Mid North Coast,2006-02-01,0.2232,108
109 Murray,2006-02-01,0.2467,109
110 New England and North West,2006-02-01,0.2001,110
111 Newcastle and Lake Macquarie,2006-02-01,0.2571,111
112 Richmond - Tweed,2006-02-01,0.2925,112
113 Riverina,2006-02-01,0.2414,113
114 Southern Highlands and Shoalhaven,2006-02-01,0.1897,114
206 Melbourne - Inner,2006-02-01,0.2438,206
207 Melbourne - Inner East,2006-02-01,0.2307,207
208 Melbourne - Inner South,2006-02-01,0.2594,208
209 Melbourne - North East,2006-02-01,0.2658,209
210 Melbourne - North West,2006-02-01,0.285,210
211 Melbourne - Outer East,2006-02-01,0.278,211
212 Melbourne - South East,2006-02-01,0.2752,212
213 Melbourne - West,2006-02-01,0.2677,213
214 Mornington Peninsula,2006-02-01,0.2963,214
201 Ballarat,2006-02-01,0.2683,201
202 Bendigo,2006-02-01,0.2437,202
203 Geelong,2006-02-01,0.2556,203
204 Hume,2006-02-01,0.2303,204
205 Latrobe - Gippsland,2006-02-01,0.189,205
215 Victoria - North West,2006-02-01,0.214,215
216 Shepparton,2006-02-01,0.2109,216
217 Warrnambool and South West,2006-02-01,0.2634,217
301 Brisbane - East,2006-02-01,0.1959,301
302 Brisbane - North,2006-02-01,0.3188,302
303 Brisbane - South,2006-02-01,0.2897,303
304 Brisbane - West,2006-02-01,0.274,304
305 Brisbane Inner City,2006-02-01,0.2898,305
310 Ipswich,2006-02-01,0.2439,310
311 Logan - Beaudesert,2006-02-01,0.2595,311
313 Moreton Bay - North,2006-02-01,0.2643,313
314 Moreton Bay - South,2006-02-01,0.2621,314
306 Cairns,2006-02-01,0.3311,306
307 Darling Downs - Maranoa,2006-02-01,0.2414,307
308 Fitzroy,2006-02-01,0.2521,308
309 Gold Coast,2006-02-01,0.2267,309
312 Mackay,2006-02-01,0.2804,312
315 Queensland - Outback,2006-02-01,0.2053,315
316 Sunshine Coast,2006-02-01,0.1946,316
317 Toowoomba,2006-02-01,0.2642,317
318 Townsville,2006-02-01,0.266,318
319 Wide Bay,2006-02-01,0.2672,319
401 Adelaide - Central and Hills,2006-02-01,0.2231,401
402 Adelaide - North,2006-02-01,0.2603,402
403 Adelaide - South,2006-02-01,0.2788,403
404 Adelaide - West,2006-02-01,0.2714,404
405 Barossa - Yorke - Mid North,2006-02-01,0.2768,405
406 South Australia - Outback,2006-02-01,0.214,406
407 South Australia - South East,2006-02-01,0.2136,407
502 Mandurah,2006-02-01,0.2015,502
503 Perth - Inner,2006-02-01,0.2191,503
504 Perth - North East,2006-02-01,0.1927,504
505 Perth - North West,2006-02-01,0.267,505
506 Perth - South East,2006-02-01,0.2839,506
507 Perth - South West,2006-02-01,0.2731,507
501 Bunbury,2006-02-01,0.2588,501
508 Western Australia - Outback,2006-02-01,0.2216,508
509 Western Australia - Wheat Belt,2006-02-01,0.1862,509
