Labour market region (SA4): ASGS (2011),Date,Percent of Total Workers,sa4_code_2011
209 Melbourne - North East,1/5/03,29.06,209
210 Melbourne - North West,1/5/03,19.94,210
211 Melbourne - Outer East,1/5/03,27.74,211
212 Melbourne - South East,1/5/03,25.93,212
213 Melbourne - West,1/5/03,23.94,213
214 Mornington Peninsula,1/5/03,25.9,214
201 Ballarat,1/5/03,32.46,201
202 Bendigo,1/5/03,29.72,202
203 Geelong,1/5/03,30.7,203
204 Hume,1/5/03,31.28,204
205 Latrobe - Gippsland,1/5/03,30.92,205
215 Victoria - North West,1/5/03,38.22,215
216 Shepparton,1/5/03,28.61,216
217 Warrnambool and South West,1/5/03,37.29,217
301 Brisbane - East,1/5/03,25.74,301
302 Brisbane - North,1/5/03,25.71,302
303 Brisbane - South,1/5/03,32.38,303
304 Brisbane - West,1/5/03,42.13,304
305 Brisbane Inner City,1/5/03,49.83,305
310 Ipswich,1/5/03,20.27,310
311 Logan - Beaudesert,1/5/03,17.8,311
313 Moreton Bay - North,1/5/03,19.8,313
314 Moreton Bay - South,1/5/03,25.09,314
306 Cairns,1/5/03,27.6,306
307 Darling Downs - Maranoa,1/5/03,37.02,307
308 Fitzroy,1/5/03,25.42,308
309 Gold Coast,1/5/03,25.05,309
312 Mackay,1/5/03,23.6,312
315 Queensland - Outback,1/5/03,29.47,315
316 Sunshine Coast,1/5/03,28.33,316
317 Toowoomba,1/5/03,20.41,317
318 Townsville,1/5/03,28.8,318
319 Wide Bay,1/5/03,28.99,319
401 Adelaide - Central and Hills,1/5/03,43.31,401
402 Adelaide - North,1/5/03,19.43,402
403 Adelaide - South,1/5/03,27.7,403
404 Adelaide - West,1/5/03,28.4,404
405 Barossa - Yorke - Mid North,1/5/03,34.25,405
406 South Australia - Outback,1/5/03,23.86,406
407 South Australia - South East,1/5/03,31.68,407
502 Mandurah,1/5/03,21.34,502
503 Perth - Inner,1/5/03,53.59,503
504 Perth - North East,1/5/03,26.78,504
505 Perth - North West,1/5/03,29.59,505
506 Perth - South East,1/5/03,27.15,506
507 Perth - South West,1/5/03,29.77,507
501 Bunbury,1/5/03,25.51,501
508 Western Australia - Outback,1/5/03,22.67,508
509 Western Australia - Wheat Belt,1/5/03,39.47,509
601 Hobart,1/5/03,31.12,601
602 Launceston and North East,1/5/03,27.25,602
603 Tasmania - South East,1/5/03,31.78,603
604 Tasmania - West and North West,1/5/03,25.16,604
701 Darwin,1/5/03,30.81,701
702 Northern Territory - Outback,1/5/03,25.91,702
801 Australian Capital Territory,1/5/03,43.81,801
102 Central Coast,1/5/04,23.76,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/04,39.19,115
116 Sydney - Blacktown,1/5/04,21.02,116
117 Sydney - City and Inner South,1/5/04,43.33,117
118 Sydney - Eastern Suburbs,1/5/04,52.35,118
119 Sydney - Inner South West,1/5/04,26.51,119
120 Sydney - Inner West,1/5/04,44.93,120
121 Sydney - North Sydney and Hornsby,1/5/04,54.31,121
122 Sydney - Northern Beaches,1/5/04,40.89,122
123 Sydney - Outer South West,1/5/04,22.23,123
124 Sydney - Outer West and Blue Mountains,1/5/04,28.14,124
125 Sydney - Parramatta,1/5/04,29.32,125
126 Sydney - Ryde,1/5/04,50.15,126
127 Sydney - South West,1/5/04,20.44,127
128 Sydney - Sutherland,1/5/04,35.05,128
101 Capital Region,1/5/04,30.94,101
103 New South Wales - Central West,1/5/04,30.51,103
104 Coffs Harbour - Grafton,1/5/04,26.28,104
105 Far West and Orana,1/5/04,38.15,105
106 Hunter Valley exc Newcastle,1/5/04,22.94,106
107 Illawarra,1/5/04,29.87,107
108 Mid North Coast,1/5/04,31.74,108
109 Murray,1/5/04,30.61,109
110 New England and North West,1/5/04,35.79,110
111 Newcastle and Lake Macquarie,1/5/04,28.12,111
112 Richmond - Tweed,1/5/04,33.74,112
113 Riverina,1/5/04,36,113
114 Southern Highlands and Shoalhaven,1/5/04,25.96,114
206 Melbourne - Inner,1/5/04,50.65,206
207 Melbourne - Inner East,1/5/04,47.17,207
208 Melbourne - Inner South,1/5/04,48.71,208
209 Melbourne - North East,1/5/04,31,209
210 Melbourne - North West,1/5/04,22.91,210
211 Melbourne - Outer East,1/5/04,27.5,211
212 Melbourne - South East,1/5/04,26.07,212
213 Melbourne - West,1/5/04,24.48,213
214 Mornington Peninsula,1/5/04,26.92,214
201 Ballarat,1/5/04,26.36,201
202 Bendigo,1/5/04,30.84,202
203 Geelong,1/5/04,27.9,203
204 Hume,1/5/04,33,204
205 Latrobe - Gippsland,1/5/04,31.07,205
215 Victoria - North West,1/5/04,39.4,215
216 Shepparton,1/5/04,31.02,216
217 Warrnambool and South West,1/5/04,33.52,217
301 Brisbane - East,1/5/04,22.41,301
302 Brisbane - North,1/5/04,25.24,302
303 Brisbane - South,1/5/04,33.53,303
304 Brisbane - West,1/5/04,42.77,304
305 Brisbane Inner City,1/5/04,46.28,305
310 Ipswich,1/5/04,20.15,310
311 Logan - Beaudesert,1/5/04,16.32,311
313 Moreton Bay - North,1/5/04,22.51,313
314 Moreton Bay - South,1/5/04,22.3,314
306 Cairns,1/5/04,28.93,306
307 Darling Downs - Maranoa,1/5/04,40.66,307
308 Fitzroy,1/5/04,21.54,308
309 Gold Coast,1/5/04,25.06,309
312 Mackay,1/5/04,25.28,312
315 Queensland - Outback,1/5/04,28.16,315
316 Sunshine Coast,1/5/04,28.9,316
317 Toowoomba,1/5/04,25.44,317
318 Townsville,1/5/04,23.4,318
319 Wide Bay,1/5/04,29.55,319
401 Adelaide - Central and Hills,1/5/04,43.02,401
402 Adelaide - North,1/5/04,19.64,402
403 Adelaide - South,1/5/04,29.26,403
404 Adelaide - West,1/5/04,28.14,404
405 Barossa - Yorke - Mid North,1/5/04,34.35,405
406 South Australia - Outback,1/5/04,28.33,406
407 South Australia - South East,1/5/04,33.54,407
502 Mandurah,1/5/04,18.68,502
503 Perth - Inner,1/5/04,53.03,503
504 Perth - North East,1/5/04,25.73,504
505 Perth - North West,1/5/04,31.26,505
506 Perth - South East,1/5/04,25.86,506
507 Perth - South West,1/5/04,29.65,507
501 Bunbury,1/5/04,27.54,501
508 Western Australia - Outback,1/5/04,28.41,508
509 Western Australia - Wheat Belt,1/5/04,36.12,509
601 Hobart,1/5/04,32.21,601
602 Launceston and North East,1/5/04,25.95,602
603 Tasmania - South East,1/5/04,30.47,603
604 Tasmania - West and North West,1/5/04,25.45,604
701 Darwin,1/5/04,32.05,701
702 Northern Territory - Outback,1/5/04,25.1,702
801 Australian Capital Territory,1/5/04,42.79,801
102 Central Coast,1/5/05,26.35,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/05,39.56,115
116 Sydney - Blacktown,1/5/05,24.13,116
117 Sydney - City and Inner South,1/5/05,42.81,117
118 Sydney - Eastern Suburbs,1/5/05,50.72,118
119 Sydney - Inner South West,1/5/05,30.22,119
120 Sydney - Inner West,1/5/05,44.9,120
121 Sydney - North Sydney and Hornsby,1/5/05,52.74,121
122 Sydney - Northern Beaches,1/5/05,43.86,122
123 Sydney - Outer South West,1/5/05,26.35,123
124 Sydney - Outer West and Blue Mountains,1/5/05,26.66,124
125 Sydney - Parramatta,1/5/05,30.36,125
126 Sydney - Ryde,1/5/05,46.6,126
127 Sydney - South West,1/5/05,22.63,127
128 Sydney - Sutherland,1/5/05,31.57,128
101 Capital Region,1/5/05,30,101
103 New South Wales - Central West,1/5/05,29.19,103
104 Coffs Harbour - Grafton,1/5/05,26.81,104
105 Far West and Orana,1/5/05,36.94,105
106 Hunter Valley exc Newcastle,1/5/05,18.94,106
107 Illawarra,1/5/05,30.72,107
108 Mid North Coast,1/5/05,29.05,108
109 Murray,1/5/05,27.47,109
110 New England and North West,1/5/05,32.89,110
111 Newcastle and Lake Macquarie,1/5/05,33.13,111
112 Richmond - Tweed,1/5/05,32.86,112
113 Riverina,1/5/05,36.22,113
114 Southern Highlands and Shoalhaven,1/5/05,29.87,114
206 Melbourne - Inner,1/5/05,48.52,206
207 Melbourne - Inner East,1/5/05,47.39,207
208 Melbourne - Inner South,1/5/05,47.49,208
209 Melbourne - North East,1/5/05,31.96,209
210 Melbourne - North West,1/5/05,21.84,210
211 Melbourne - Outer East,1/5/05,30.63,211
212 Melbourne - South East,1/5/05,27.37,212
213 Melbourne - West,1/5/05,25.99,213
214 Mornington Peninsula,1/5/05,25.16,214
201 Ballarat,1/5/05,26.85,201
202 Bendigo,1/5/05,30.34,202
203 Geelong,1/5/05,28.77,203
204 Hume,1/5/05,34.35,204
205 Latrobe - Gippsland,1/5/05,31.43,205
215 Victoria - North West,1/5/05,31.58,215
216 Shepparton,1/5/05,28.76,216
217 Warrnambool and South West,1/5/05,32.63,217
301 Brisbane - East,1/5/05,24.27,301
302 Brisbane - North,1/5/05,30.48,302
303 Brisbane - South,1/5/05,34.23,303
304 Brisbane - West,1/5/05,49.22,304
305 Brisbane Inner City,1/5/05,47.56,305
310 Ipswich,1/5/05,18.38,310
311 Logan - Beaudesert,1/5/05,17.67,311
313 Moreton Bay - North,1/5/05,22.92,313
314 Moreton Bay - South,1/5/05,27.5,314
306 Cairns,1/5/05,25.24,306
307 Darling Downs - Maranoa,1/5/05,34.1,307
308 Fitzroy,1/5/05,27.03,308
309 Gold Coast,1/5/05,28.92,309
312 Mackay,1/5/05,28.77,312
315 Queensland - Outback,1/5/05,29.91,315
316 Sunshine Coast,1/5/05,23.08,316
317 Toowoomba,1/5/05,27.65,317
318 Townsville,1/5/05,25.47,318
319 Wide Bay,1/5/05,28.27,319
401 Adelaide - Central and Hills,1/5/05,43.39,401
402 Adelaide - North,1/5/05,20.79,402
403 Adelaide - South,1/5/05,30.35,403
404 Adelaide - West,1/5/05,28.93,404
405 Barossa - Yorke - Mid North,1/5/05,33.02,405
406 South Australia - Outback,1/5/05,30.2,406
407 South Australia - South East,1/5/05,31.86,407
502 Mandurah,1/5/05,18.74,502
503 Perth - Inner,1/5/05,53.12,503
504 Perth - North East,1/5/05,27.5,504
505 Perth - North West,1/5/05,29.67,505
506 Perth - South East,1/5/05,26.86,506
507 Perth - South West,1/5/05,30.52,507
501 Bunbury,1/5/05,25.23,501
508 Western Australia - Outback,1/5/05,28.25,508
509 Western Australia - Wheat Belt,1/5/05,36.23,509
601 Hobart,1/5/05,35.15,601
602 Launceston and North East,1/5/05,28.96,602
603 Tasmania - South East,1/5/05,27.57,603
604 Tasmania - West and North West,1/5/05,26.9,604
701 Darwin,1/5/05,30.09,701
702 Northern Territory - Outback,1/5/05,31.85,702
801 Australian Capital Territory,1/5/05,41.89,801
102 Central Coast,1/5/06,28.91,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/06,40.63,115
116 Sydney - Blacktown,1/5/06,21.94,116
117 Sydney - City and Inner South,1/5/06,44.89,117
118 Sydney - Eastern Suburbs,1/5/06,55.2,118
119 Sydney - Inner South West,1/5/06,28.51,119
120 Sydney - Inner West,1/5/06,44.12,120
121 Sydney - North Sydney and Hornsby,1/5/06,53.04,121
122 Sydney - Northern Beaches,1/5/06,44.48,122
123 Sydney - Outer South West,1/5/06,25.37,123
124 Sydney - Outer West and Blue Mountains,1/5/06,27.59,124
125 Sydney - Parramatta,1/5/06,31.47,125
126 Sydney - Ryde,1/5/06,49.14,126
127 Sydney - South West,1/5/06,23.71,127
128 Sydney - Sutherland,1/5/06,35.07,128
101 Capital Region,1/5/06,32.24,101
103 New South Wales - Central West,1/5/06,33.88,103
104 Coffs Harbour - Grafton,1/5/06,25.98,104
105 Far West and Orana,1/5/06,37.63,105
106 Hunter Valley exc Newcastle,1/5/06,22.67,106
107 Illawarra,1/5/06,29.82,107
108 Mid North Coast,1/5/06,25.67,108
109 Murray,1/5/06,28.9,109
110 New England and North West,1/5/06,31.31,110
111 Newcastle and Lake Macquarie,1/5/06,27.57,111
112 Richmond - Tweed,1/5/06,32.68,112
113 Riverina,1/5/06,34.59,113
114 Southern Highlands and Shoalhaven,1/5/06,33.18,114
206 Melbourne - Inner,1/5/06,52.48,206
207 Melbourne - Inner East,1/5/06,48.84,207
208 Melbourne - Inner South,1/5/06,46.91,208
209 Melbourne - North East,1/5/06,30.05,209
210 Melbourne - North West,1/5/06,22.08,210
211 Melbourne - Outer East,1/5/06,30.66,211
212 Melbourne - South East,1/5/06,27.31,212
213 Melbourne - West,1/5/06,24.21,213
214 Mornington Peninsula,1/5/06,23.59,214
201 Ballarat,1/5/06,32.36,201
202 Bendigo,1/5/06,34.68,202
203 Geelong,1/5/06,32.17,203
204 Hume,1/5/06,32.05,204
205 Latrobe - Gippsland,1/5/06,29.56,205
215 Victoria - North West,1/5/06,40.18,215
216 Shepparton,1/5/06,25.31,216
217 Warrnambool and South West,1/5/06,34.11,217
301 Brisbane - East,1/5/06,27.43,301
302 Brisbane - North,1/5/06,31.01,302
303 Brisbane - South,1/5/06,38.42,303
304 Brisbane - West,1/5/06,44.72,304
305 Brisbane Inner City,1/5/06,51.11,305
310 Ipswich,1/5/06,19.76,310
311 Logan - Beaudesert,1/5/06,18.87,311
313 Moreton Bay - North,1/5/06,21.44,313
314 Moreton Bay - South,1/5/06,28.15,314
306 Cairns,1/5/06,25.28,306
307 Darling Downs - Maranoa,1/5/06,31.16,307
308 Fitzroy,1/5/06,25.4,308
309 Gold Coast,1/5/06,29.08,309
312 Mackay,1/5/06,25.23,312
315 Queensland - Outback,1/5/06,25.58,315
316 Sunshine Coast,1/5/06,29.02,316
317 Toowoomba,1/5/06,30.72,317
318 Townsville,1/5/06,26.01,318
319 Wide Bay,1/5/06,30.53,319
401 Adelaide - Central and Hills,1/5/06,44.51,401
402 Adelaide - North,1/5/06,21.64,402
403 Adelaide - South,1/5/06,30.7,403
404 Adelaide - West,1/5/06,32.16,404
405 Barossa - Yorke - Mid North,1/5/06,28.54,405
406 South Australia - Outback,1/5/06,27.3,406
407 South Australia - South East,1/5/06,30.48,407
502 Mandurah,1/5/06,17.07,502
503 Perth - Inner,1/5/06,59.85,503
504 Perth - North East,1/5/06,27.43,504
505 Perth - North West,1/5/06,29.21,505
506 Perth - South East,1/5/06,27.88,506
507 Perth - South West,1/5/06,29.53,507
501 Bunbury,1/5/06,27.88,501
508 Western Australia - Outback,1/5/06,31.07,508
509 Western Australia - Wheat Belt,1/5/06,33.71,509
601 Hobart,1/5/06,33.17,601
602 Launceston and North East,1/5/06,28.72,602
603 Tasmania - South East,1/5/06,30.24,603
604 Tasmania - West and North West,1/5/06,24.55,604
701 Darwin,1/5/06,30.01,701
702 Northern Territory - Outback,1/5/06,27.67,702
801 Australian Capital Territory,1/5/06,42.73,801
102 Central Coast,1/5/07,24.31,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/07,44.1,115
116 Sydney - Blacktown,1/5/07,23.34,116
117 Sydney - City and Inner South,1/5/07,46.22,117
118 Sydney - Eastern Suburbs,1/5/07,53.11,118
119 Sydney - Inner South West,1/5/07,29.46,119
120 Sydney - Inner West,1/5/07,47.89,120
121 Sydney - North Sydney and Hornsby,1/5/07,53.86,121
122 Sydney - Northern Beaches,1/5/07,43.86,122
123 Sydney - Outer South West,1/5/07,23.23,123
124 Sydney - Outer West and Blue Mountains,1/5/07,31.36,124
125 Sydney - Parramatta,1/5/07,31.56,125
126 Sydney - Ryde,1/5/07,49.52,126
127 Sydney - South West,1/5/07,22.38,127
128 Sydney - Sutherland,1/5/07,35.46,128
101 Capital Region,1/5/07,29.51,101
103 New South Wales - Central West,1/5/07,33.06,103
104 Coffs Harbour - Grafton,1/5/07,27.48,104
105 Far West and Orana,1/5/07,36.65,105
106 Hunter Valley exc Newcastle,1/5/07,22.14,106
107 Illawarra,1/5/07,24.98,107
108 Mid North Coast,1/5/07,23.6,108
109 Murray,1/5/07,27.88,109
110 New England and North West,1/5/07,34.53,110
111 Newcastle and Lake Macquarie,1/5/07,29.32,111
112 Richmond - Tweed,1/5/07,32.29,112
113 Riverina,1/5/07,33.66,113
114 Southern Highlands and Shoalhaven,1/5/07,30.03,114
206 Melbourne - Inner,1/5/07,50.51,206
207 Melbourne - Inner East,1/5/07,50.54,207
208 Melbourne - Inner South,1/5/07,48.8,208
209 Melbourne - North East,1/5/07,31.26,209
210 Melbourne - North West,1/5/07,23.5,210
211 Melbourne - Outer East,1/5/07,29.94,211
212 Melbourne - South East,1/5/07,27.11,212
213 Melbourne - West,1/5/07,25.05,213
214 Mornington Peninsula,1/5/07,27.45,214
201 Ballarat,1/5/07,28.46,201
202 Bendigo,1/5/07,30.96,202
203 Geelong,1/5/07,31.13,203
204 Hume,1/5/07,28.79,204
205 Latrobe - Gippsland,1/5/07,26.71,205
215 Victoria - North West,1/5/07,39.2,215
216 Shepparton,1/5/07,37.93,216
217 Warrnambool and South West,1/5/07,34.95,217
301 Brisbane - East,1/5/07,27.04,301
302 Brisbane - North,1/5/07,26.76,302
303 Brisbane - South,1/5/07,36.55,303
304 Brisbane - West,1/5/07,45.78,304
305 Brisbane Inner City,1/5/07,50.25,305
310 Ipswich,1/5/07,20.33,310
311 Logan - Beaudesert,1/5/07,19.67,311
313 Moreton Bay - North,1/5/07,20.16,313
314 Moreton Bay - South,1/5/07,26.89,314
306 Cairns,1/5/07,25.71,306
307 Darling Downs - Maranoa,1/5/07,33.87,307
308 Fitzroy,1/5/07,24.23,308
309 Gold Coast,1/5/07,27.71,309
312 Mackay,1/5/07,26.83,312
315 Queensland - Outback,1/5/07,29.06,315
316 Sunshine Coast,1/5/07,26.72,316
317 Toowoomba,1/5/07,30.81,317
318 Townsville,1/5/07,22.89,318
319 Wide Bay,1/5/07,27.54,319
401 Adelaide - Central and Hills,1/5/07,46.52,401
402 Adelaide - North,1/5/07,22.18,402
403 Adelaide - South,1/5/07,31,403
404 Adelaide - West,1/5/07,30.57,404
405 Barossa - Yorke - Mid North,1/5/07,32.11,405
406 South Australia - Outback,1/5/07,23.62,406
407 South Australia - South East,1/5/07,32.96,407
502 Mandurah,1/5/07,22.03,502
503 Perth - Inner,1/5/07,54.37,503
504 Perth - North East,1/5/07,25.6,504
505 Perth - North West,1/5/07,31.18,505
506 Perth - South East,1/5/07,30.2,506
507 Perth - South West,1/5/07,29.39,507
501 Bunbury,1/5/07,24.35,501
508 Western Australia - Outback,1/5/07,25.94,508
509 Western Australia - Wheat Belt,1/5/07,33.94,509
601 Hobart,1/5/07,33.45,601
602 Launceston and North East,1/5/07,30.04,602
603 Tasmania - South East,1/5/07,33.4,603
604 Tasmania - West and North West,1/5/07,23.82,604
701 Darwin,1/5/07,32.92,701
702 Northern Territory - Outback,1/5/07,31.11,702
801 Australian Capital Territory,1/5/07,43.33,801
102 Central Coast,1/5/08,25.31,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/08,41.51,115
116 Sydney - Blacktown,1/5/08,25.2,116
117 Sydney - City and Inner South,1/5/08,48.44,117
118 Sydney - Eastern Suburbs,1/5/08,53.14,118
119 Sydney - Inner South West,1/5/08,27.16,119
120 Sydney - Inner West,1/5/08,46.08,120
121 Sydney - North Sydney and Hornsby,1/5/08,58.06,121
122 Sydney - Northern Beaches,1/5/08,46.41,122
123 Sydney - Outer South West,1/5/08,21.98,123
124 Sydney - Outer West and Blue Mountains,1/5/08,30.14,124
125 Sydney - Parramatta,1/5/08,31.06,125
126 Sydney - Ryde,1/5/08,51.43,126
127 Sydney - South West,1/5/08,20.7,127
128 Sydney - Sutherland,1/5/08,37.87,128
101 Capital Region,1/5/08,32.61,101
103 New South Wales - Central West,1/5/08,30.65,103
104 Coffs Harbour - Grafton,1/5/08,27.79,104
105 Far West and Orana,1/5/08,39.98,105
106 Hunter Valley exc Newcastle,1/5/08,19.88,106
107 Illawarra,1/5/08,28.4,107
108 Mid North Coast,1/5/08,26.26,108
109 Murray,1/5/08,26.17,109
110 New England and North West,1/5/08,40.82,110
111 Newcastle and Lake Macquarie,1/5/08,31.75,111
112 Richmond - Tweed,1/5/08,31.69,112
113 Riverina,1/5/08,30.33,113
114 Southern Highlands and Shoalhaven,1/5/08,32.87,114
206 Melbourne - Inner,1/5/08,53.64,206
207 Melbourne - Inner East,1/5/08,48.58,207
208 Melbourne - Inner South,1/5/08,50.47,208
209 Melbourne - North East,1/5/08,31.15,209
210 Melbourne - North West,1/5/08,26.5,210
211 Melbourne - Outer East,1/5/08,33.08,211
212 Melbourne - South East,1/5/08,27.15,212
213 Melbourne - West,1/5/08,24.56,213
214 Mornington Peninsula,1/5/08,25.58,214
201 Ballarat,1/5/08,24.29,201
202 Bendigo,1/5/08,33.14,202
203 Geelong,1/5/08,32.85,203
204 Hume,1/5/08,27.92,204
205 Latrobe - Gippsland,1/5/08,28.56,205
215 Victoria - North West,1/5/08,35.4,215
216 Shepparton,1/5/08,29.98,216
217 Warrnambool and South West,1/5/08,30.51,217
301 Brisbane - East,1/5/08,25.18,301
302 Brisbane - North,1/5/08,30.32,302
303 Brisbane - South,1/5/08,37.48,303
304 Brisbane - West,1/5/08,49.46,304
305 Brisbane Inner City,1/5/08,50.3,305
310 Ipswich,1/5/08,22.6,310
311 Logan - Beaudesert,1/5/08,22.41,311
313 Moreton Bay - North,1/5/08,23.31,313
314 Moreton Bay - South,1/5/08,32.41,314
306 Cairns,1/5/08,25.87,306
307 Darling Downs - Maranoa,1/5/08,35.18,307
308 Fitzroy,1/5/08,24.74,308
309 Gold Coast,1/5/08,26.92,309
312 Mackay,1/5/08,27.69,312
315 Queensland - Outback,1/5/08,31.75,315
316 Sunshine Coast,1/5/08,31.19,316
317 Toowoomba,1/5/08,29.84,317
318 Townsville,1/5/08,25.17,318
319 Wide Bay,1/5/08,29.13,319
401 Adelaide - Central and Hills,1/5/08,44.37,401
402 Adelaide - North,1/5/08,25.28,402
403 Adelaide - South,1/5/08,31.52,403
404 Adelaide - West,1/5/08,29.74,404
405 Barossa - Yorke - Mid North,1/5/08,33.01,405
406 South Australia - Outback,1/5/08,26.67,406
407 South Australia - South East,1/5/08,28.87,407
502 Mandurah,1/5/08,23.63,502
503 Perth - Inner,1/5/08,59.84,503
504 Perth - North East,1/5/08,26,504
505 Perth - North West,1/5/08,34.19,505
506 Perth - South East,1/5/08,29.07,506
507 Perth - South West,1/5/08,32.1,507
501 Bunbury,1/5/08,24.2,501
508 Western Australia - Outback,1/5/08,27.21,508
509 Western Australia - Wheat Belt,1/5/08,34.49,509
601 Hobart,1/5/08,34.16,601
602 Launceston and North East,1/5/08,30.16,602
603 Tasmania - South East,1/5/08,30.2,603
604 Tasmania - West and North West,1/5/08,23.69,604
701 Darwin,1/5/08,34.09,701
702 Northern Territory - Outback,1/5/08,25.78,702
801 Australian Capital Territory,1/5/08,44.34,801
102 Central Coast,1/5/09,28.72,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/09,42.82,115
116 Sydney - Blacktown,1/5/09,24.52,116
117 Sydney - City and Inner South,1/5/09,51.4,117
118 Sydney - Eastern Suburbs,1/5/09,51.48,118
119 Sydney - Inner South West,1/5/09,27.27,119
120 Sydney - Inner West,1/5/09,45.33,120
121 Sydney - North Sydney and Hornsby,1/5/09,57.17,121
122 Sydney - Northern Beaches,1/5/09,45.69,122
123 Sydney - Outer South West,1/5/09,25.21,123
124 Sydney - Outer West and Blue Mountains,1/5/09,29.6,124
125 Sydney - Parramatta,1/5/09,35.4,125
126 Sydney - Ryde,1/5/09,46.86,126
127 Sydney - South West,1/5/09,20.7,127
128 Sydney - Sutherland,1/5/09,34.87,128
101 Capital Region,1/5/09,41.22,101
103 New South Wales - Central West,1/5/09,23.79,103
104 Coffs Harbour - Grafton,1/5/09,29.83,104
105 Far West and Orana,1/5/09,43.76,105
106 Hunter Valley exc Newcastle,1/5/09,24.19,106
107 Illawarra,1/5/09,28.16,107
108 Mid North Coast,1/5/09,29.26,108
109 Murray,1/5/09,33.19,109
110 New England and North West,1/5/09,33.12,110
111 Newcastle and Lake Macquarie,1/5/09,30.9,111
112 Richmond - Tweed,1/5/09,30.17,112
113 Riverina,1/5/09,23.37,113
114 Southern Highlands and Shoalhaven,1/5/09,29.5,114
206 Melbourne - Inner,1/5/09,52.75,206
207 Melbourne - Inner East,1/5/09,47.73,207
208 Melbourne - Inner South,1/5/09,49.11,208
209 Melbourne - North East,1/5/09,33.71,209
210 Melbourne - North West,1/5/09,24.06,210
211 Melbourne - Outer East,1/5/09,34.17,211
212 Melbourne - South East,1/5/09,27.84,212
213 Melbourne - West,1/5/09,28.3,213
214 Mornington Peninsula,1/5/09,25.29,214
201 Ballarat,1/5/09,27.11,201
202 Bendigo,1/5/09,33.84,202
203 Geelong,1/5/09,29.8,203
204 Hume,1/5/09,27.69,204
205 Latrobe - Gippsland,1/5/09,31.89,205
215 Victoria - North West,1/5/09,30.45,215
216 Shepparton,1/5/09,31.56,216
217 Warrnambool and South West,1/5/09,26.42,217
301 Brisbane - East,1/5/09,27.85,301
302 Brisbane - North,1/5/09,31.53,302
303 Brisbane - South,1/5/09,36.27,303
304 Brisbane - West,1/5/09,57.47,304
305 Brisbane Inner City,1/5/09,50.74,305
310 Ipswich,1/5/09,21.66,310
311 Logan - Beaudesert,1/5/09,21.47,311
313 Moreton Bay - North,1/5/09,23.86,313
314 Moreton Bay - South,1/5/09,35.1,314
306 Cairns,1/5/09,21.12,306
307 Darling Downs - Maranoa,1/5/09,34.51,307
308 Fitzroy,1/5/09,19.27,308
309 Gold Coast,1/5/09,27.36,309
312 Mackay,1/5/09,27.95,312
315 Queensland - Outback,1/5/09,31.19,315
316 Sunshine Coast,1/5/09,29.88,316
317 Toowoomba,1/5/09,29.17,317
318 Townsville,1/5/09,26.45,318
319 Wide Bay,1/5/09,25.18,319
401 Adelaide - Central and Hills,1/5/09,46.56,401
402 Adelaide - North,1/5/09,24.04,402
403 Adelaide - South,1/5/09,31.32,403
404 Adelaide - West,1/5/09,29.65,404
405 Barossa - Yorke - Mid North,1/5/09,32.97,405
406 South Australia - Outback,1/5/09,31.31,406
407 South Australia - South East,1/5/09,36.19,407
502 Mandurah,1/5/09,21.22,502
503 Perth - Inner,1/5/09,50.32,503
504 Perth - North East,1/5/09,29.8,504
505 Perth - North West,1/5/09,31.6,505
506 Perth - South East,1/5/09,29.19,506
507 Perth - South West,1/5/09,32.83,507
501 Bunbury,1/5/09,26.67,501
508 Western Australia - Outback,1/5/09,28.3,508
509 Western Australia - Wheat Belt,1/5/09,31.58,509
601 Hobart,1/5/09,36.47,601
602 Launceston and North East,1/5/09,30.34,602
603 Tasmania - South East,1/5/09,29.66,603
604 Tasmania - West and North West,1/5/09,26.06,604
701 Darwin,1/5/09,34.56,701
702 Northern Territory - Outback,1/5/09,30.92,702
801 Australian Capital Territory,1/5/09,45.53,801
102 Central Coast,1/5/10,29.58,102
115 Sydney - Baulkham Hills and Hawkesbury,1/5/10,44,115
116 Sydney - Blacktown,1/5/10,26.62,116
117 Sydney - City and Inner South,1/5/10,52.51,117
118 Sydney - Eastern Suburbs,1/5/10,55.36,118
119 Sydney - Inner South West,1/5/10,31.25,119
120 Sydney - Inner West,1/5/10,48.06,120
121 Sydney - North Sydney and Hornsby,1/5/10,58.89,121
122 Sydney - Northern Beaches,1/5/10,46.3,122
123 Sydney - Outer South West,1/5/10,23.8,123
124 Sydney - Outer West and Blue Mountains,1/5/10,28.11,124
125 Sydney - Parramatta,1/5/10,34.42,125
126 Sydney - Ryde,1/5/10,47.3,126
127 Sydney - South West,1/5/10,20.46,127
128 Sydney - Sutherland,1/5/10,39.64,128
101 Capital Region,1/5/10,37.95,101
103 New South Wales - Central West,1/5/10,29.06,103
104 Coffs Harbour - Grafton,1/5/10,24.69,104
105 Far West and Orana,1/5/10,38.55,105
106 Hunter Valley exc Newcastle,1/5/10,26.62,106
107 Illawarra,1/5/10,33.53,107
108 Mid North Coast,1/5/10,28.95,108
