Labour market region (SA4): ASGS (2011),Date,Percent of part time workers,sa4_code_2011
702 Northern Territory - Outback,1/8/01,30.57,702
801 Australian Capital Territory,1/8/01,30.28,801
102 Central Coast,1/8/02,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/02,26.33,115
116 Sydney - Blacktown,1/8/02,43.37,116
117 Sydney - City and Inner South,1/8/02,19.62,117
118 Sydney - Eastern Suburbs,1/8/02,42.95,118
119 Sydney - Inner South West,1/8/02,48.43,119
120 Sydney - Inner West,1/8/02,28.35,120
121 Sydney - North Sydney and Hornsby,1/8/02,45.33,121
122 Sydney - Northern Beaches,1/8/02,54.6,122
123 Sydney - Outer South West,1/8/02,39.76,123
124 Sydney - Outer West and Blue Mountains,1/8/02,19.11,124
125 Sydney - Parramatta,1/8/02,24.6,125
126 Sydney - Ryde,1/8/02,28.18,126
127 Sydney - South West,1/8/02,44.56,127
128 Sydney - Sutherland,1/8/02,19.62,128
101 Capital Region,1/8/02,35.09,101
103 New South Wales - Central West,1/8/02,29.67,103
104 Coffs Harbour - Grafton,1/8/02,30.51,104
105 Far West and Orana,1/8/02,38.2,105
106 Hunter Valley exc Newcastle,1/8/02,44.43,106
107 Illawarra,1/8/02,25.11,107
108 Mid North Coast,1/8/02,29.98,108
109 Murray,1/8/02,23.93,109
110 New England and North West,1/8/02,20.54,110
111 Newcastle and Lake Macquarie,1/8/02,36.16,111
112 Richmond - Tweed,1/8/02,25.86,112
113 Riverina,1/8/02,31.84,113
114 Southern Highlands and Shoalhaven,1/8/02,35.43,114
206 Melbourne - Inner,1/8/02,30.14,206
207 Melbourne - Inner East,1/8/02,50.39,207
208 Melbourne - Inner South,1/8/02,48.16,208
209 Melbourne - North East,1/8/02,46.62,209
210 Melbourne - North West,1/8/02,29.5,210
211 Melbourne - Outer East,1/8/02,21.41,211
212 Melbourne - South East,1/8/02,28.3,212
213 Melbourne - West,1/8/02,25.4,213
214 Mornington Peninsula,1/8/02,24.5,214
201 Ballarat,1/8/02,26.55,201
202 Bendigo,1/8/02,30.77,202
203 Geelong,1/8/02,30.39,203
204 Hume,1/8/02,32.92,204
205 Latrobe - Gippsland,1/8/02,31.41,205
215 Victoria - North West,1/8/02,33.93,215
216 Shepparton,1/8/02,38.5,216
217 Warrnambool and South West,1/8/02,35.98,217
301 Brisbane - East,1/8/02,35.96,301
302 Brisbane - North,1/8/02,27.93,302
303 Brisbane - South,1/8/02,25.05,303
304 Brisbane - West,1/8/02,32.26,304
305 Brisbane Inner City,1/8/02,39.7,305
310 Ipswich,1/8/02,45.04,310
311 Logan - Beaudesert,1/8/02,22.56,311
313 Moreton Bay - North,1/8/02,17.86,313
314 Moreton Bay - South,1/8/02,22.11,314
306 Cairns,1/8/02,28.55,306
307 Darling Downs - Maranoa,1/8/02,31.07,307
308 Fitzroy,1/8/02,32.03,308
309 Gold Coast,1/8/02,28.03,309
312 Mackay,1/8/02,26.39,312
315 Queensland - Outback,1/8/02,26.95,315
316 Sunshine Coast,1/8/02,22.81,316
317 Toowoomba,1/8/02,26.63,317
318 Townsville,1/8/02,23.63,318
319 Wide Bay,1/8/02,34.71,319
401 Adelaide - Central and Hills,1/8/02,25.78,401
402 Adelaide - North,1/8/02,41.95,402
403 Adelaide - South,1/8/02,19.43,403
404 Adelaide - West,1/8/02,29.74,404
405 Barossa - Yorke - Mid North,1/8/02,27.75,405
406 South Australia - Outback,1/8/02,36.57,406
407 South Australia - South East,1/8/02,22.27,407
502 Mandurah,1/8/02,31.91,502
503 Perth - Inner,1/8/02,20.05,503
504 Perth - North East,1/8/02,53.43,504
505 Perth - North West,1/8/02,25.11,505
506 Perth - South East,1/8/02,28.97,506
507 Perth - South West,1/8/02,27.21,507
501 Bunbury,1/8/02,29.81,501
508 Western Australia - Outback,1/8/02,22.61,508
509 Western Australia - Wheat Belt,1/8/02,21.82,509
601 Hobart,1/8/02,43.14,601
602 Launceston and North East,1/8/02,27.04,602
603 Tasmania - South East,1/8/02,28.99,603
604 Tasmania - West and North West,1/8/02,28.59,604
701 Darwin,1/8/02,26.5,701
702 Northern Territory - Outback,1/8/02,32.38,702
801 Australian Capital Territory,1/8/02,26.98,801
102 Central Coast,1/8/03,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/03,23.43,115
116 Sydney - Blacktown,1/8/03,39.82,116
117 Sydney - City and Inner South,1/8/03,19.94,117
118 Sydney - Eastern Suburbs,1/8/03,39.82,118
119 Sydney - Inner South West,1/8/03,52.67,119
120 Sydney - Inner West,1/8/03,25.72,120
121 Sydney - North Sydney and Hornsby,1/8/03,42.33,121
122 Sydney - Northern Beaches,1/8/03,52.88,122
123 Sydney - Outer South West,1/8/03,40.04,123
124 Sydney - Outer West and Blue Mountains,1/8/03,23.22,124
125 Sydney - Parramatta,1/8/03,27.33,125
126 Sydney - Ryde,1/8/03,28.06,126
127 Sydney - South West,1/8/03,48.67,127
128 Sydney - Sutherland,1/8/03,22.29,128
101 Capital Region,1/8/03,34.06,101
103 New South Wales - Central West,1/8/03,34.26,103
104 Coffs Harbour - Grafton,1/8/03,26.81,104
105 Far West and Orana,1/8/03,23.51,105
106 Hunter Valley exc Newcastle,1/8/03,33.31,106
107 Illawarra,1/8/03,22.46,107
108 Mid North Coast,1/8/03,28.98,108
109 Murray,1/8/03,27.22,109
110 New England and North West,1/8/03,23.38,110
111 Newcastle and Lake Macquarie,1/8/03,31.57,111
112 Richmond - Tweed,1/8/03,27.92,112
113 Riverina,1/8/03,32.22,113
114 Southern Highlands and Shoalhaven,1/8/03,30.45,114
206 Melbourne - Inner,1/8/03,27.23,206
207 Melbourne - Inner East,1/8/03,52.32,207
208 Melbourne - Inner South,1/8/03,48.07,208
209 Melbourne - North East,1/8/03,47.86,209
210 Melbourne - North West,1/8/03,29.25,210
211 Melbourne - Outer East,1/8/03,21.01,211
212 Melbourne - South East,1/8/03,27.84,212
213 Melbourne - West,1/8/03,25.99,213
214 Mornington Peninsula,1/8/03,24.09,214
201 Ballarat,1/8/03,26.05,201
202 Bendigo,1/8/03,30.89,202
203 Geelong,1/8/03,30.38,203
204 Hume,1/8/03,28.57,204
205 Latrobe - Gippsland,1/8/03,30.55,205
215 Victoria - North West,1/8/03,31.53,215
216 Shepparton,1/8/03,37.89,216
217 Warrnambool and South West,1/8/03,25.15,217
301 Brisbane - East,1/8/03,37.29,301
302 Brisbane - North,1/8/03,23.47,302
303 Brisbane - South,1/8/03,25.1,303
304 Brisbane - West,1/8/03,30.98,304
305 Brisbane Inner City,1/8/03,42.29,305
310 Ipswich,1/8/03,49.03,310
311 Logan - Beaudesert,1/8/03,20.02,311
313 Moreton Bay - North,1/8/03,17.46,313
314 Moreton Bay - South,1/8/03,18.27,314
306 Cairns,1/8/03,22.79,306
307 Darling Downs - Maranoa,1/8/03,27.51,307
308 Fitzroy,1/8/03,38.2,308
309 Gold Coast,1/8/03,24.41,309
312 Mackay,1/8/03,25.22,312
315 Queensland - Outback,1/8/03,23.73,315
316 Sunshine Coast,1/8/03,29.42,316
317 Toowoomba,1/8/03,28.31,317
318 Townsville,1/8/03,21.34,318
319 Wide Bay,1/8/03,26.1,319
401 Adelaide - Central and Hills,1/8/03,27.94,401
402 Adelaide - North,1/8/03,42.36,402
403 Adelaide - South,1/8/03,20.03,403
404 Adelaide - West,1/8/03,27.66,404
405 Barossa - Yorke - Mid North,1/8/03,28.97,405
406 South Australia - Outback,1/8/03,36.4,406
407 South Australia - South East,1/8/03,24.82,407
502 Mandurah,1/8/03,31.77,502
503 Perth - Inner,1/8/03,21.16,503
504 Perth - North East,1/8/03,53.66,504
505 Perth - North West,1/8/03,26.62,505
506 Perth - South East,1/8/03,30.5,506
507 Perth - South West,1/8/03,26.67,507
501 Bunbury,1/8/03,29.43,501
508 Western Australia - Outback,1/8/03,25.26,508
509 Western Australia - Wheat Belt,1/8/03,25.34,509
601 Hobart,1/8/03,38.46,601
602 Launceston and North East,1/8/03,32.25,602
603 Tasmania - South East,1/8/03,26.78,603
604 Tasmania - West and North West,1/8/03,30.64,604
701 Darwin,1/8/03,24.73,701
702 Northern Territory - Outback,1/8/03,30.93,702
801 Australian Capital Territory,1/8/03,25.49,801
102 Central Coast,1/8/04,100,102
115 Sydney - Baulkham Hills and Hawkesbury,1/8/04,24.9,115
116 Sydney - Blacktown,1/8/04,37.88,116
117 Sydney - City and Inner South,1/8/04,21.5,117
118 Sydney - Eastern Suburbs,1/8/04,44.45,118
119 Sydney - Inner South West,1/8/04,52.43,119
120 Sydney - Inner West,1/8/04,27.64,120
121 Sydney - North Sydney and Hornsby,1/8/04,44.61,121
122 Sydney - Northern Beaches,1/8/04,53.9,122
123 Sydney - Outer South West,1/8/04,41.68,123
124 Sydney - Outer West and Blue Mountains,1/8/04,23.09,124
125 Sydney - Parramatta,1/8/04,27.89,125
126 Sydney - Ryde,1/8/04,29.51,126
127 Sydney - South West,1/8/04,51.71,127
128 Sydney - Sutherland,1/8/04,20.84,128
101 Capital Region,1/8/04,33.23,101
103 New South Wales - Central West,1/8/04,30.68,103
104 Coffs Harbour - Grafton,1/8/04,31.59,104
105 Far West and Orana,1/8/04,27.11,105
106 Hunter Valley exc Newcastle,1/8/04,38.31,106
107 Illawarra,1/8/04,20.82,107
108 Mid North Coast,1/8/04,31.58,108
109 Murray,1/8/04,31.5,109
110 New England and North West,1/8/04,31.62,110
111 Newcastle and Lake Macquarie,1/8/04,35.54,111
112 Richmond - Tweed,1/8/04,27.7,112
113 Riverina,1/8/04,34.32,113
114 Southern Highlands and Shoalhaven,1/8/04,36.67,114
206 Melbourne - Inner,1/8/04,27.54,206
207 Melbourne - Inner East,1/8/04,50,207
208 Melbourne - Inner South,1/8/04,46.34,208
209 Melbourne - North East,1/8/04,48.79,209
210 Melbourne - North West,1/8/04,31.65,210
211 Melbourne - Outer East,1/8/04,22.56,211
212 Melbourne - South East,1/8/04,27.7,212
213 Melbourne - West,1/8/04,26.57,213
214 Mornington Peninsula,1/8/04,24.2,214
201 Ballarat,1/8/04,26.5,201
202 Bendigo,1/8/04,26.4,202
203 Geelong,1/8/04,30.28,203
204 Hume,1/8/04,29.75,204
205 Latrobe - Gippsland,1/8/04,33.77,205
215 Victoria - North West,1/8/04,31.02,215
216 Shepparton,1/8/04,39.92,216
217 Warrnambool and South West,1/8/04,33.33,217
301 Brisbane - East,1/8/04,32.53,301
302 Brisbane - North,1/8/04,22.55,302
303 Brisbane - South,1/8/04,27.36,303
304 Brisbane - West,1/8/04,34.95,304
305 Brisbane Inner City,1/8/04,45.36,305
310 Ipswich,1/8/04,47.59,310
311 Logan - Beaudesert,1/8/04,20.18,311
313 Moreton Bay - North,1/8/04,16.42,313
314 Moreton Bay - South,1/8/04,24.63,314
306 Cairns,1/8/04,24.05,306
307 Darling Downs - Maranoa,1/8/04,29.05,307
308 Fitzroy,1/8/04,40.48,308
309 Gold Coast,1/8/04,22.31,309
312 Mackay,1/8/04,25.72,312
315 Queensland - Outback,1/8/04,25.34,315
316 Sunshine Coast,1/8/04,31.86,316
317 Toowoomba,1/8/04,27.42,317
318 Townsville,1/8/04,26.89,318
319 Wide Bay,1/8/04,23.57,319
401 Adelaide - Central and Hills,1/8/04,30.91,401
402 Adelaide - North,1/8/04,43.96,402
403 Adelaide - South,1/8/04,19.25,403
404 Adelaide - West,1/8/04,29.96,404
405 Barossa - Yorke - Mid North,1/8/04,27.47,405
406 South Australia - Outback,1/8/04,31.33,406
407 South Australia - South East,1/8/04,28.8,407
502 Mandurah,1/8/04,34.1,502
503 Perth - Inner,1/8/04,18.74,503
504 Perth - North East,1/8/04,51.72,504
505 Perth - North West,1/8/04,25.4,505
506 Perth - South East,1/8/04,30.32,506
507 Perth - South West,1/8/04,26.18,507
501 Bunbury,1/8/04,29.67,501
